	Title	Address1	Latitude	Longitude
24	Chính chủ bán nhà mới, 4 tầng, đế chung cư,dân cư đông đúc, giá hợp lý	Khu đô thị Vsip Từ Sơn, Bắc Ninh	21.0785932	105.9684556
25	Bán nhà 4 lầu vị trí đẹp mặt tiền kinh doanh đường Hưng Phú P.8 Quận 8	đường Hưng Phú, Phường 8, Quận 8	10.750095	106.6788926
26	Bán nhà Đường số 14 Phường 8 Gò Vấp, 33m2, 2 tầng chỉ 3.65 tỷ	Đường Số 14		
27	BÁN NHÀ MỚI SÀI ĐỒNG, 60M X 6 TẦNG, THANG MÁY, MT 5M, 8 TỶ 5	Long Biên	21.0186765	105.884813
28	Bán nhà phố Giảng Võ, Đống Đa 64m, 5 tầng, mt 5.8m. Giá: 25 tỷ	Hà Nội	21.0277644	105.8341598
29	Bán Khách Sạn 6 Tầng Thang Máy, Xô Viết Nghệ Tĩnh, P.21, 6 X 15, 6 Tầng, 15 Phòng Nhỉnh 14 Tỷ	Xô Viết Nghệ Tỉnh	19.2342489	104.9200365
30	BÁN NHÀ GÓC 3 MẶT TIỀN CỘNG HOÀ,P4, TÂN BÌNH, DT 8,6x25m, HĐT 100tr GIÁ 40tỷ	đường Cộng Hoà, Phường 4, Quận Tân Bình	10.8011413	106.6560568
31	Mua bán nhà Phố Trung Liệt, Đống Đa-Lô góc, 2 thoáng, gara ô tô-60m2x4T chỉ 7,1 Tỷ.	Phố Trung Liệt, Quận Đống Đa	21.0116971	105.8208098
32	0348938928	BÁN NHÀ LÊ VĂN SỸ, P13, PHÚ NHUẬN	10.7908574	106.6728765
33	Bán Nhà Phân Lô Oto Trần Quang Diệu, Cạnh Công Viên, KD VP, 2 Thoáng, 54m2*5T*5m, 14 tỷ	Ngõ 1D	21.0169948	105.8266333
34	Bán Nhà Phân Lô Oto Trần Quang Diệu, Cạnh Công Viên, KD VP, 2 Thoáng, 54m2*5T*5m, 14 tỷ	Ngõ 1D	21.0169948	105.8266333
35	SÁT ĐỪƠNG LỚN HẺM XE TẢI 1 TRỤC - 89M2 - VILLA MỚI XÂY 5 TẦNG - THANG MÁY HỒ BƠI SANG CHẢNH - 12 TỶ	Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, TP. HCM	10.8122833	106.6852567
36	MINH PHỤNG Q.11 - 4M X 21M - HẺM XE TẢI TRÁNH - GIẢM SÂU 7,3 TỶ	MINH PHỤNG, Quận 11	10.758419	106.6439023
37	MINH PHỤNG Q.11 - 4M X 21M - HẺM XE TẢI TRÁNH - GIẢM SÂU 7,3 TỶ	Minh Phượng, Quận 11	10.758419	106.6439023
38	HẬU GIANG, QUẬN 6 - HẺM XE TẢI - NGANG 4M 2 TẦNG - CHỈ 3,8 TỶ	Hậu Giang, Quận 6	10.7483849	106.6365682
39	HẬU GIANG, QUẬN 6 - HẺM XE TẢI - NGANG 4M 2 TẦNG - CHỈ 3,8 TỶ	Hậu Giang, Quận 6	10.7483849	106.6365682
40	Bán nhà Chung cư Khuông Việt Tân Phú 47m2 chỉ 2 tỷ 300 triệu.	Khuông Việt, Quận Tân Phú	10.7760186	106.6393366
41	Bán nhà Chung cư Khuông Việt Tân Phú 47m2 chỉ 2 tỷ 300 triệu.	Khuông Việt, Quận Tân Phú	10.7760186	106.6393366
42	Bán Nhà Quận 8 - Nhà Mới Nở Hậu - Ngăn 2 Căn Riêng Biệt Cho Thuê 11Triệu - 45M - Nhỉnh 3Tỷ	Thành phố Hồ Chí Minh	10.8230989	106.6296638
43	Bán Nhà Quận 8 - Nhà Mới Nở Hậu - Ngăn 2 Căn Riêng Biệt Cho Thuê 11Triệu - 45M - Nhỉnh 3Tỷ	Thành phố Hồ Chí Minh	10.8230989	106.6296638
44	NHÀ TO - GIÁ NHỎ - Âu Cơ - Tân Bình - 64m2 - giá nhỉnh 3 tỷ.	đường Âu Cơ, Phường 9, Quận Tân Bình	10.7725992	106.6494858
45	NHÀ TO - GIÁ NHỎ - Âu Cơ - Tân Bình - 64m2 - giá nhỉnh 3 tỷ.	đường Âu Cơ, Phường ?, Quận Tân Bình	10.7849578	106.6420539
46	Duy nhất - bán nhà mặt tiền đường vip Mạc Đĩnh Chi, Đakao Q1, DT 80m2 xây mới 8 tầng giá 31tỷ	đường Mạc Đĩnh Chi, Quận Đakao, Quận 1	10.7848591	106.6991176
47	Duy nhất - bán nhà mặt tiền đường vip Mạc Đĩnh Chi, Đakao Q1, DT 80m2 xây mới 8 tầng giá 31tỷ	đường Mạc Đĩnh Chi, Đakao, Quận 1	10.7854945	106.6986609
48	Bán tòa nhà building 9,1m x 22,5m hầm 8 tầng chỉ 52 tỷ ĐINH TIÊN HOÀNG Quận 1, thu nhập 175tr/tháng	Mặt Tiên Hoàng, Phường Đa Kao, Quận 1	10.7884855	106.6995645
49	Bán tòa nhà building 9,1m x 22,5m hầm 8 tầng chỉ 52 tỷ ĐINH TIÊN HOÀNG Quận 1, thu nhập 175tr/tháng	Đinh Tiên Hoàng, Phường Đakao, Quận 1	10.7884855	106.6995645
50	Nhà mặt tiền đường kinh doanh xe hơi tránh, Dương Đức Hiền, 4.8 tỷ	Dương Đức Hiền, Tây Thạnh, Tân Phú	10.8089397	106.6271051
51	Siêu VIP Cầu Giấy bán gấp Nhà Trần Quốc Hoàn 48m2, MT4.2m Ô tô vào nhà chỉ 9.x tỷ	phố Trần Quốc Hoàn	21.0416528	105.7859318
52	Sở hữu ngay một không gian sống trong lành, view sông sen tự nhiên	KĐT centa Vsip, Phù Chẩn, tp Từ Sơn, Bắc Ninh, -Dự án-	21.0746682	105.972411
53	Bán nhà Phân Lô ô tô tránh Vào nhà TRẦN QUỐC HOÀN 40M2, 9.x tỷ 5 tầng MT 4m.	Trần Quốc Hoàn, Cầu Giấy, Quận	21.0416528	105.7859318
54	HXH, Lê Văn Thọ Phường 11 Gò Vấp, 42m2, 2 tầng chỉ 5.65 tỷ	Lê Văn Thọ	10.8455819	106.6570168
55	Mua bán nhà Thái Hà, Đống Đa 65m2x5T - Gara ô tô, thang máy chỉ 7,2 Tỷ.	Phố Thái Hà, Đống Đa	21.0129882	105.820014
56	Bán nhà Lê Đình Cẩn (4x14) 2 Tầng- Hẻm Nhựa 8m Thông	Lê Đình Cẩn	10.7595799	106.5990101
57	Bán nhà 57m2 đường Nguyễn Sỹ Sách, phường 15, quận Tân Bình, Lê Gia: 0854372313	đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình	10.8194362	106.6347737
58	Bán nhanh nhà phố Thái Hà 63m2x5T, mặt tiền 6.6m oto vào nhà, kinh doanh tốt giá 16,2 tỷ	đường Otto, phường ?		
59	Bán nhà phố Phương Mai, Đống Đa, ô tô vào nhà kinh doanh đỉnh 5 tầng 52m2 giá 9.9 tỷ	Phương Mai, Quận Đống Đa	21.0012748	105.8393044
60	Bán nhà ngay chợ Tân Trụ, phường 15, quận Tân Bình, Lê Gia : 0854372313	chợ Tân Trụ, Phường 15, Quận Tân Bình	10.8189771	106.6347193
61	Bán nhà 2 tầng mặt đường Lạch Tray, Ngô Quyền, Hải Phòng giá 9,99 tỷ	Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng	20.8383154	106.6951069
62	Nhà Nguyễn Đình Chiểu, Phường 5, Quận 3, Hẻm ô tô tránh, nở hậu tài lộc giá chỉ 7,2 Tỷ	Nguyễn Đình Chiểu		
63	HẺM XE HƠI ĐỖ CỬA, CHÍNH CHỦ CẦN BÁN GẤP CĂN NHÀ 1 TRỆT 1 LẦU NGUYỄN XÍ BÌNH THẠNH.	nguyen xi		
64	KIỆT OTO 5M, AN HẢI BẮC,TRƯỚC CÔNG VIÊN THOÁNG MÁT.	Đà Nẵng	16.0544068	108.2021667
65	SỐC MẶT TIỀN BÌNH THẠNH. 2 TẦNG - GIÁ CHỈ NHỈNH 3 TỶ.	đường Điện Biên Phủ, phường 17, quận Bình Thạnh	10.7978161	106.7049832
66	NHÀ BÌNH THẠNH, ĐIỆN BIÊN PHỦ - HXH 7 CHỖ - NHÀ ĐẸP 3 TẦNG - 3.95 TỶ.	Điện Biên Phủ, Phường 21, Bình Thạnh	10.8012665	106.7128801
67	Chỉ hơn 20 triệu/m2, có nhà SHR 2 tầng, QL22 Trung Mỹ Tây, 2.6 tỷ	Thành phố Hồ Chí Minh	10.8230989	106.6296638
68	Giảm Mạnh Bán Nhà 50m2 Nguyễn Văn Công, Gò Vấp, Sát Sân Bay.	Nguyễn Văn Công		
69	Bán nhà Điện Biên Phủ, Bình Thạnh, 3 lầu, hạ giá còn 6.50 tỷ	đường Điện Biên Phủ, Quận Bình Thạnh	10.7965858	106.7038033
70	Chính chủ cần bán nhà Hoàng Hoa Thám Bình Thạnh	đường Hoàng Hoa Thám, Phường 1, Quận Bình Thạnh	10.8099947	106.6838921
71	Bán nhà SHR, sở hữu lâu dài giá chỉ 2 tỷ 350 triệu nhà 1 trệt 1 lầu, liền kề Thuận An	tân phước khánh 32	11.0028099	106.7385562
72	♨ ♨ Còn duy nhất 10 căn nhà phố xây dựng sẵn, sổ hồng trao tay. Chiếc khấu lên tới 5%, nhận nhà ngay Mặt tiền đường Tân Phước Khánh 32, phường Tân Phước Khánh, Thành Phố Tân Uyên, tỉnh Bình Dương. Liền kề khu công nghiệp nên dễ dàng cho các chuyên	tân phước khánh 32	11.0028099	106.7385562
73	[CỰC HOT] Sở hữu NHÀ mặt tiền Tân Phước Khánh 32 - Tân Uyên – chỉ với 2 tỷ 350 triệu	tân phước khánh 32	11.0028099	106.7385562
74	"???? Bán Nhà Phố khu ""Compound"" Hiện Đại nằm ngay mặt tiền đường Tân Phước Khánh 32 , TP.Tân Uyên, Bình Dương"	tân phước khánh 32	11.0028099	106.7385562
75	Bán nhà đẹp 1 trệt 2 lầu, sổ hồng riêng, ngay trung tâm phường Tân Phước Khánh, Tân Uyên	tân phước khánh 32	11.0028099	106.7385562
76	Nhà phố 2 lầu cực kỳ sang trọng, nằm ngay phường Tân Phước Khánh, Tân Uyên	tân phước khánh 32	11.0028099	106.7385562
77	Bán 16 phòng trọ đường Hoàng Diệu 2, Linh Chiểu, dt 250 m², Giá 10,6 Tỷ	Đường Hoàng Diệu 2, Phường Linh Chiểu, Quận Thủ Đức, TP HCM	10.8564547	106.7660949
78	ĐẤT 6 X 9 - VỊ TRÍ VIP - CÁCH NGÃ 4 BỐN XÃ 200M - HẺM 5M - KHU PHÂN LÔ A CHỈ 3.72 Tỷ	Lê Văn Quới, Bình Long Hòa Bình	11.7096516	106.5911643
79	Nhà Siêu Hot : Mở bán 4 căn tại Bần Yên Nhân - Mỹ Hào , giá chỉ từ 600Tr , bao phí sổ đỏ, vị trí đắc địa	Phú Đa - Bần Yên Nhân - Mỹ Hào - Hưng Yên	20.9443641	106.0485879
80	Nhà phố 2 lầu cực kỳ sang trọng, nằm ngay phường Tân Phước Khánh, Tân Uyên	tân phước khánh 32	11.0028099	106.7385562
81	Siêu Hot : 3 căn còn duy nhất 1 căn tại Nhạc Lộc- Văn Lâm, cách Vinhomes 3 chưa đầy 1 Km , Giá từ 800Tr	Thôn Nhạc Lộc , xã Trưng Trắc , Văn Lâm , Hưng Yên	20.9575663	105.9953774
82	Mặt tiền Tân Thới Nhất 05 vào 2 căn, SHR, hoàn công, Không QH 2 tỷ	Thành phố Hồ Chí Minh	10.8230989	106.6296638
83	Nhà 1 sẹc, Hẽm 5m, Nguyễn Trọng Tuyển, P.15, Q.PN, 4 x 12, 5 Tầng, 5 Phòng, Sổ Đẹp, 12 Tỷ	Nguyễn Trọng Tuyễn	10.7975236	106.6762337
84	Mua bán nhà đất Phố Chùa Bộc, Quận Đống Đa 52m2 MT:10m chỉ 6,9 Tỷ gara ô tô, Kdoanh.	Phố Chùa Bộc, Quận Đống Đa	21.0078608	105.8276966
85	0348938928	BÁN NHÀ ĐƯỜNG SỐ 10 (NGUYỄN VĂN KHỐI) P9, GÒ VẤP. HẺM XE HƠI TO VẬT VÃ. CÓ CHỖ ĐẬU XE HƠI. CHỈ 9.3 TỶ	10.8435173	106.650469
86	Bán căn góc 2 MT đường Phùng Khắc Khoan, ĐaoKao, Q1 13.5x19m, 1 tầng, gía 280 tỷ	đường 37 Phùng Khắc Khoan, Phường Đa Kao, Quận 1	10.7865752	106.6955235
87	Bán nhà căn duy nhất ngang 8m đường Nguyễn Thị Minh Khai P Dakao Q1, DT: 8x15m 4 tầng giá 19 tỷ TL	đường Nguyễn Thị Minh Khai, Phường Dakao, Quận 1	10.7866357	106.7015422
88	BÁN NHÀ DÂN XÂY YÊN LỘ - GARA 2 Ô TÔ - 2 THOÁNG TRƯỚC SAU - GIÁ TỐT	KĐT Đô Nghĩa, đường Vành đai 4	20.9570705	105.7373505
89	BÁN ĐẤT TẶNG NHÀ - DIỆN TÍCH RỘNG - Ô TÔ VÀO - GIÁ SIÊU TỐT	Thôn Thuận Tốn		
90	TÂY LAI XÁ - HOÀI ĐỨC - 3.2 TỶ - 33M2 - 5 TẦNG - NHÀ MỚI ĐẸP - LÔ GÓC - Ô TÔ ĐỖ CỬA - BÃI GỬI XE QUANH NHÀ	Ngõ trước nhà gần hồ Lai Xá, Nguyễn Du, P.Xuân La, Q.Hoài Đức	21.0651094	105.7160469
91	TAM TRINH ( YÊN SỞ ) - HOÀNG MAI - 4.65 TỶ - 31M2 - TUYỆT ĐỈNH CHO THUÊ + MẶT NGÕ GẦN PHỐ + TIỆN ÍCH NGẬP TRÀN	ngõ 139, Quận Hoàng Mai	20.9860686	105.8579101
92	TRƯỜNG CHINH ( PHƯƠNG LIỆT ) - THANH XUÂN - 4.9 TỶ - 42M2 - 20M RA PHỐ, ĐƯỜNG TRƯỚC NHÀ RỘNG SH QUAY XE THOẢI MÁI, NHÀ DÂN XÂY CHẮC CHẮN, THOÁNG TRƯỚC SAU.	Ngã Tư Sở, Thanh Xuân	21.004722	105.8220581
93	THỤY KHÊ - TÂY HỒ - CHỦ ĐÃ CHÀO GIẢM - 3.25 TỶ - 32M2 - GIÁ CẢ HỢP LÝ - NHÀ DÂN XÂY - MẤY BƯỚC RA HỒ TÂY	Ngõ 376, Hồ Tây	21.0467433	105.8123928
94	BÁN NHÀ LÂM HẠ, LONG BIÊN, 48M X 5 TẦNG, GARA Ô TÔ, 8 TỶ 5	Long Biên	21.0186765	105.884813
95	0348938928	BÁN NHÀ HOÀNG DIỆU, P10, PHÚ NHUẬN.	10.7959019	106.671056
96	[HOT] Q.TÂN PHÚ - NHÀ 27M2, CHỈ 2 TỶ NHỈNH - 3 BƯỚC RA HXH - CHỢ TÂN HƯƠNG TÂN PHÚ - SIÊU HIẾM!	Tân Hưng, Quận Tân Phú	10.7900517	106.6281901
97	[Q.TÂN PHÚ] BÁN NHANH NHÀ 36M2 CHỈ 2.95 TỶ GẦN ÂU CƠ-LUỸ BÁN BÍCH, NGAY CHUNG CƯ MELODY	Trần Hưng Đạo, Luỹ Bán Bích, Phường Tân Sơn Nhì, Quận Tân Phú	10.7950801	106.6380956
98	chính chủ gửi bán nhà mặt tiền Trần Văn Đang Q3	Trần Văn Đang p9 Q3	10.7833273	106.6764254
99	Bán nhà phố Giáp Nhất, Thanh Xuân, ô tô, thang máy, kinh doanh 5 tầng 54m2 giá 10.7 tỷ	Giáp Nhất, Thanh Xuân	21.005389	105.8162083
100	Bán nhà 3E Phổ Quang nằm trong khu biệt thự Him Lam	3E/12 Pho Quang	10.8045036	106.6655889
101	Giá rẻ! Gần sân bay Tân Sơn Nhất – P2 Tân Bình - 60m2 – chỉ nhỉnh 5 tỷ	đường Lăng Chả Cả, Phường Tân Bình	10.8004455	106.6608111
102	Bán nhà Vĩnh Viễn Quận 10 với 31m2 chỉ 5 tỷ	Vĩnh Viễn, Quận 10	10.7635376	106.6669007
103	HÓC MÔN, BÁN NHÀ ĐƯỜNG LÊ LỢI, KV 4.5x30m 137m2, CHỈ 4.4 TỶ	Đường Lê Lợi, xã Tân Thới Nhì, huyện Hóc Môn, tp.HCM	10.8960346	106.5828258
104	NHÀ QUẬN 6 - 77M2 - NGANG 4M - 5,7 TỶ, TL	Hậu Giang, Phường 12, Quận 6	10.7474838	106.6328609
105	Bán nhà Vĩnh Viễn Quận 10 24m2 chỉ 4 tỷ 600 triệu.	Vĩnh Viên, Quận 10	10.7635376	106.6669007
106	Bán Nhà Mặt Tiền Quận 10 - Kinh Doanh Tốt - Khu Vip Bắc Hải - 41M - Nhỉnh 8Tỷ	Thành phố Hồ Chí Minh	10.8230989	106.6296638
107	Bán nhà đẹp 2 lầu mặt tiền đường số gần chợ Phạm Thế Hiển P.4 Quận 8	đường số, Phường 4, Quận 8	10.7427393	106.677766
108	Bán nhà MT đường LÊ VĂN QUỚI, DT: 12x40 (nở hậu 32m), giá: 96 tỷ TL Liên Hệ Ngay	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	10.7759904	106.6134613
109	Bán nhà HXH thông đường SỐ 2 GÒ XOÀI, DT: 4x10m, 3 lầu, giá: 4.79 tỷ TL Liên Hệ Ngay	Số 2 Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh	10.7766269	106.6024452
110	Bán nhà HXH 8M đường GÒ XOÀI, DT: 6.7x16m (nở hậu 12.5m), giá: 7.8 tỷ TL Liên Hệ Ngay	đường Gò Xoài, bình trị đông, bình tân, thành phố hồ chí minh	10.783504	106.6036111
111	NHÀ ĐẸP 40M2X5T LÊ TRỌNG TẤN - HÀ ĐÔNG - LÔ GÓC 4 MẶT THOÁNG - Ô TÔ ĐỖ CỬA - NHỈNH 5 TỶ	Hà Đông	20.955835	105.7563658
112	Hiếm Có Nhà Bán Mặt Tiền Kinh Doanh, Nguyễn Trọng Tuyển, P.15, Phú Nhuận, 103m2, 3 Tầng, Nhỉnh 24 Tỷ	Nguyễn Trọng Tuyển	10.7975236	106.6762337
113	Nhà chính chủ đường Lê Văn Sỹ, P1, Tân Bình. Hẻm xe hơi 5m	546 Phạm Văn Đồng, phường 13, Quận Bình Thạnh	10.8226167	106.7038269
114	Nhà 4 tầng - Ôtô tránh Tân Chánh Hiệp - Quận 12 - Gấp bán chỉ nhỉnh 5 tỷ.	Tân Chánh Hiệp - Quận 12 - Tp Hồ Chí Minh	10.866797	106.6261831
115	GIẢM MẠNH BÁN GẤP HẺM XE HƠI QUẬN BÌNH THẠNH SÁT Q1, XUNG QUANH RẤT NHIỀU TRƯỜNG ĐẠI HỌC.	220 XVNT		
116	Giảm hẵn 2 tỷ bán gấp, Hẻm ô tô thông Lạc Long Quân, 60m2, 2 tấm BTCT 5 tỷ 0977943598	hẻm Lạc Long Quân, Phường 10, Quận Tân Bình	10.7828645	106.6514296
117	Bán nhà Đường số 14 Phường 8 Gò Vấp, 28m2, 3 tầng chỉ 3.99 tỷ	Đường Số 14		
118	NHÀ ĐẸP - VỊ TRÍ ĐẸP - ĐƯỜNG ĐẸP - THIẾT KẾ ĐẸP - GIÁ ĐẸP 3,868 TỶ.	đường Trần Văn Mười, Phan Văn Hớn	10.8496795	106.5879052
119	4x9.5m/2tầng, Hẻm 3.5m, Giá Chỉ 3.2 tỷ - Nguyễn Văn Khối P9 GV	Quận Gò Vấp HCM	10.8386779	106.6652904
120	Bán nhà trong ngõ 229 Miếu Hai Xã, Lê Chân, Hải Phòng	Ngõ 229 Miếu Hai Xã, Lê Chân, Hải Phòng	20.8400771	106.6796612
121	Bán nhà mặt tiền đường Bình Trị Đông	đường Bình Trị Đông	10.7668701	106.6096908
122	HẠ GIÁ - BÁN GẤP - HOÀNG QUỐC VIỆT - NHÀ ĐẸP Ở NGAY - 100tr/m2	Ngõ 5 Hoàng Quốc Việt, Nguyễn Đình Hoàn	21.0416517	105.8052068
123	Bán nhà 63m2 SHR thổ cư (P.Trung Dũng) chỉ 2.050 tỉ	đường P.Trung Dũng	10.954627	106.8179171
124	Bán nhà 1 Trệt 1 lầu 60m2 SHR thổ cư (P. Quyết Thắng) chỉ 1,6 tỉ	P. Quyết Thắng	21.3277804	103.9289005
125	BÁN NHÀ ĐẸP LUNG LINH,GIÁ SỐC,9 BƯỚC RA PHỐ LĨNH NAM.	phố Lĩnh Nam	20.9770005	105.896559
126	Bán nhà Vạn Phúc, kinh doanh, ba gác quay đầu 5tầng, 5 tỷ 2	Phố Vạn Phúc, Hà Đông	20.9797665	105.778691
127	Bán Nhà Mới Xây Mặt Tiền Trần Văn Giàu, Bình Chánh ĐÃ CÓ SỔ	đường Trần Văn Giàu, Bình Chánh	10.7682085	106.5563476
128	Nhà 2 Mặt Tiền Kinh Doanh, Phú Nhuận, Thích Quảng Đức, 7.5 x 9.5, Đường10m, 5 Tầng, Thu 25 tr.th, Chỉ 24 tỷ.	Thích Quảng Đức, Phường 3, Quận Bình Thạnh	10.8058626	106.6815662
129	Nhà 2 Mặt Tiền Kinh Doanh, Phú Nhuận, Thích Quảng Đức, 7.5 x 9.5, Đường10m, 5 Tầng, Thu 25 tr.th, Chỉ 24 tỷ.	Thích Quảng Đức, Phường 3, Quận Bình Thạnh	10.8058626	106.6815662
130	Cần bán nhà tại mặt phố chia lô ô tô tránh có vỉa hè cực đẹp tại phố Nguyễn Thị Định 6 tầng kinh doanh tốt giá 10 tỷ	phố Nguyễn Thị Định, P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội	21.0099792	105.8046459
131	Bán Nhà 2 Tầng Kiệt 51 Lương Thế Vinh Gần Võ Văn Kiệt Đà Nẵng.	51 Lương Thế Vinh, Võ Văn Kiệt, Đà Nẵng	16.0544563	108.0717219
132	Bán Nhà 2 Tầng Kiệt 51 Lương Thế Vinh Gần Võ Văn Kiệt Đà Nẵng.	Lương Thế Vinh, Phường Võ Văn Kiệt, Đà Nẵng	16.0635298	108.2372993
133	66m2 (6x11m) - 3 tỷ 4 – Nguyễn Văn Quá - Q12, Sát Gò Vấp	Quận 12 Vấp HCM	10.8671531	106.6413322
134	Nhà mặt tiền Đường Số 9 Phường 9 Gò Vấp, 66m2, 3 tầng chỉ 6.9 tỷ	Đường Số 9	16.7880854	107.1253986
135	Giảm 2 tỷ bán gấp Hẻm 6m Lê Trọng Tấn, Tân Phú 70m2, 4 tầng 5.6 tỷ 0977943598	đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú	10.8079431	106.6201184
136	Giảm 2 tỷ bán gấp Hẻm 6m Lê Trọng Tấn, Tân Phú 70m2, 4 tầng 5.6 tỷ 0977943598	đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú	10.8079431	106.6201184
137	Giá rẻ chỉ 6,5 tỷ bán nhà mặt tiền đường nhánh Dương Đình Nghệ	Thành phố Đà Nẵng	16.0544068	108.2021667
138	Khu phân lô đồng bộ dân trí – K300 – 56m2 – Ngang gần 4m – giá nhỉnh 4 tỷ.	hẻm Nhựa 8m, Trung tâm Tân Bình	10.8014659	106.6525974
139	Nhà đẹp để ở - kinh doanh, kiên cố, HXH, vị trí gần trung tâm giá nhỏ	Đường số 12, KP5, Phường Hiệp Bình Chánh, TP Thủ Đức	10.8308089	106.7298993
140	Bán Nhà Quang Trung,55m2, mt 5,3, 5 tỷ 2	Ngô Quyền, Quang Trung	20.9707942	105.7663373
