Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	3.9	70			Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	"???? Bán nhà ngay Hồ Đầm Tròn, Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình
???? Giá: 7 tỷ
Mô tả:
- Nhà 3 tầng xác định bán đất. Thiết kế:
- Tầng 1: sân, phòng khách, 1 PN, bếp. VS
- Tầng 2: 1 phòng lớn, sân, 1 VS.
- Tầng 3: Phòng thờ, sân phơi.
- Nhà mình bán cách Hồ Đầm Tròn ngõ ô tô vài bước đi bộ, tiện ích đầy đủ, chẳng thiếu gì.
???? Liên hệ đt/zalo: 097.297.6787 ( miễn MG)"	False	False	True	False	Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình
Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	7	70			Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	"???? Bán nhà ngay Hồ Đầm Tròn, Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình
???? Giá: 7 tỷ
Mô tả:
- Nhà 3 tầng xác định bán đất. Thiết kế:
- Tầng 1: sân, phòng khách, 1 PN, bếp. VS
- Tầng 2: 1 phòng lớn, sân, 1 VS.
- Tầng 3: Phòng thờ, sân phơi.
- Nhà mình bán cách Hồ Đầm Tròn ngõ ô tô vài bước đi bộ, tiện ích đầy đủ, chẳng thiếu gì.
???? Liên hệ đt/zalo: 097.297.6787 ( miễn MG)"	False	False	True	False	Ngõ 135 Đội Cấn, Giang Văn Minh, quận Ba Đình	Hồ Đầm Tròn, Ngõ 135 Đội Cấn, Giang Văn Minh, Trung tâm Q. Ba Đình	Ngõ 135 Đội Cấn, Giang Văn Minh, quận Ba Đình
Bán nhà dt khủng 76m2, ngang 6.5m, Lê Đức Thọ Gò Vấp nhỉnh 3 tỷ	7	76	4.0	3.0	Lê Đức Thọ	"76m2 công nhận đủ ngang 6.5m, thu nhập hàng tháng 18tr, chỉ nhỉnh 3 tỷ,( đã giảm hơn 1 tỷ, giá ban đầu 4.9 tỷ)

Dt: ngang 6.5 x 12 dài
Diện tích lớn thông số đẹp, cho thuê 5 phòng khép kín thu nhập 18tr/tháng.
Nhà mới ở ngày. Phù hợp mua giữ tiền hoặc vừa ở vừa cho thuê.
Vài bước ra hẻm xe hơi và mặt tiền.
Sổ đẹp không lộ giới, pháp lý chuẩn công chứng ngay."	False	True	True	False	đường Lê Đức Thọ, Phường Gò Vấp	Lê Đức Thọ	đường Lê Đức Thọ, Phường Gò Vấp
BÁN NHÀ BẠCH MAI TẶNG FULL NỘI THẤT Ở LUÔN - 20M MẶT PHỐ Ô TÔ TRÁNH	3.8	40			58 Tạ Quang Bửu	"Chính chủ cần bán gấp căn nhà Bạch Mai tặng full nội thất vào ở luôn, 40m2 5 tầng.
Khu vực dân trí cao, gần các trường Bách Kinh Xây, các bệnh viện trung ương, gần ngã 3 chợ Mơ, các trường c1,c2 trong khu vực.
Ngõ nông thoáng sáng, đi 20m ra ô tô tránh, giao thông thuận lợi.
Thiết kế thông sàn 5 tầng hiện đại đầy đủ công năng sử dụng.
Sổ đỏ chính chủ vuông vắn.
Giá 4.x tỷ. (x tiểu học)
LH: 0333.234.098"	False	True	True	False	đường Bạch Mai	58 Tạ Quang Bửu	đường Bạch Mai
SIÊU HIẾM BẠCH MAI - NHÀ MẶT PHỐ THÔNG KINH DOANH -NGÕ THÔNG TỨ TUNG	4.2	35			Ngõ Quỳnh	"Mô tả:
+ Nhà 5 tầng long lanh chỉ chờ vào việc. Gần trường cấp 1, cấp 2, cấp 3 trong khu vực, chợ Mơ, bv Thanh Nhàn...
+ Kinh doanh ngày đêm bất chấp. Có thể làm văn phòng, phòng khám, spa... hoặc để ở đều tuyệt.
☘Phân khúc cực hiếm khó có sự lựa chọn thứ 2.

LH: 0333234098"	False	False	True	False	phố thông kinh doanh, Ngõ thông Tứ Tùng	Ngõ Quỳnh	phố thông kinh doanh, Ngõ thông Tứ Tùng
Liền kề Ngô Thì Nhậm, ô tô đậu cửa, nhà đẹp ở ngay, 45m2, 7.2 tỷ	6.4	45	5.0	4.0	Ngô Thì Nhậm	"+ Nhà nằm ở khu phân lô Ngô Thì Nhậm, ngõ thoáng sạch sẽ, ô tô đậu cửa.
+ Diện tích 45m2, nhà 5 tầng dân xây tâm huyết chắc chắn, mỗi tầng 2 ngủ rộng.
+ View nhìn ra nhà thi đấu Quận Hà Đông, thoáng vĩnh viễn.
+ Khu vực yên tĩnh, ngõ thoáng rộng rãi, hàng xóm xung quanh thân thiện hiền lành.
+ Xung quanh đầy đủ chợ, bệnh viện, trường học các cấp, siêu thị, các cơ quan đảng ủy nhà nước đều tập trung quanh đây.
+ Giao thông thuận tiện, kết nối các phố Nguyễn Viết Xuân, Ngô Thì Nhậm, Quang Trung, Ngô Quyền, Ngô Gia Tự, Lý Thường Kiệt,...
+ Chủ nhà chị Hằng kinh doanh hàng ăn, nay bán đi chuyển sang mặt phố ở tiện kinh doanh.
+ Giá 7,2 tỷ ( có thương lượng với khách thiện chí)
+ Sổ đỏ chính chủ, cất két.
+ Liên hệ E Quân Nhà Đẹp 0934503893 xem nhà ngay"	False	True	True	False	Ngô Thì Nhậm, Quận Hà Đông	Ngô Thì Nhậm	Ngô Thì Nhậm, Quận Hà Đông
Giảm 9.5 Tỷ Nhà Mặt Tiền Khu VÍP Bàu Cát, Tân Bình, diện tích 346m2, 6 tầng, giá 37 Tỷ	7.2					"+ Giảm sâu 9.5 tỷ còn 37 tỷ nhà mặt tiền đường khu VÍP Bàu Cát, Phường 11, Tân Bình. Chiều ngang lý tưởng nở hậu tài lộc. xe lưu thông tấp nập cung đường sầm uất nhất, tiện làm văn phòng công ty, phòng mạch, spa, cho thuê CHDV hoặc khách sạn, kinh doanh đa ngành nghề…
+ Vị trí nhà cực đẹp giáp Quận 10, Quận 11, khu trung tâm đi đâ cũng tiện, gần sân bay quốc tế Tân Sơn Nhất, gần trường học các cấp, Bệnh viện, siêu thị, trung tâm thương mại, chợ, nhà thờ…
+ Diện tích 346m2 (ngang 7 nở hậu 15, dài 32m với kết cấu 6 tầng btct thông suốt)
+ Kết cấu nhà xây sàn đúc BTCT kiên cố 3/6 tầng – gia chủ xây làm văn phòng cty còn dang dở do thiếu hụt tài chính. Nay cần nhượng lại cho khách hữu duyên hoàn thiện nốt theo thiết kế, hiện sàn thông có chỗ chờ sẵn lắp thang máy.
+ Pháp lý chuẩn, sổ nở hậu tài lộc, cam kết hoàn công đầy đủ.
+ Liên hệ em Hương Nhà Phố 093.850.9958 xem nhà mua bán trực tiếp chủ."	False	False	True	False	đường Khu VÍP Bàu Cát, Phường 11, Quận Tân Bình	đường Khu VÍP Bàu Cát, Phường 11, Quận Tân Bình	đường Khu VÍP Bàu Cát, Phường 11, Quận Tân Bình
✅ Bán gấp dãy trọ 10 phòng trục đường Bùi Văn Hòa, Long Bình Tân, gần chợ K8	5	244			Bùi văn hòa	"Bán gấp dãy trọ 1 kiot + 8 phòng trên trục đường Bùi Văn Hòa, gần ngã tư ICD Tân Cảng - Long Bình, gần chợ K8, gần KCN Biên Hòa 2, KCN Long Bình
✅ ❤️❤️❤️ Giá: 5 tỷ ❤️ Thương lượng cho ACE thiện chí.
✅ Vị trí đẹp cách mặt tiền Bùi Văn Hoà tầm 50m. hẻm thông rộng 2 xe hơi, khu quân đội an ninh tốt
✅ DT : 5 * 48 m ( 244 m2 )
✅ Hiện trạng có 9 phòng cho thuê kín 900k/phòng
✅ Sổ hồng riêng, thổ cư
❤ Vui lòng LH: 0916.986.875 _ Mr Nhân
❤ Xin cảm ơn đã xem tin !!! ❤"	True	True	True	False	trục đường Bùi Văn Hòa, Long Bình	Bùi văn hòa	trục đường Bùi Văn Hòa, Long Bình
SIÊU HIẾM BẠCH MAI - NHÀ ĐẸP Ở LUÔN - 20M RA PHỐ	5	45				"BẠCH MAI - HAI BÀ TRƯNG
DIỆN TÍCH 40M2, MẶT TIỀN 5M, THIẾT KẾ THÔNG SÀN 5 TẦNG.
NHÀ DÂN XÂY MỚI, THIẾT KẾ ĐẦY ĐỦ CÔNG NĂNG SỬ DỤNG.
NGÕ NÔNG RỘNG THOÁNG SÁNG, 20M RA Ô TÔ TRÁNH.
KHU VỰC TRUNG TÂM QUẬN, KINH DOANH SẦM UẤT NGÀY ĐÊM. GẦN CÁC TRƯỜNG ĐẠI HỌC BÁCH KINH XÂY, BỆNH VIỆN TRUNG ƯƠNG, NGÃ TƯ CHỢ MƠ... SỔ ĐỎ CHÍNH CHỦ VUÔNG VẮN SẴN SÀNG GIAO DỊCH.
GIÁ CHÀO 4 TỶ NHỈNH.
LH: 0333.234.098 (EM HUẤN)"	False	False	True	False	Bạch Mai, Hai Bà Trưng	Bạch Mai, Hai Bà Trưng	Bạch Mai, Hai Bà Trưng
BÁN NHÀ NGÕ TỰU LIÊT_35.5.3,5 chào bán 2,850 tỷ.	4.2					"+Nhà gần trường học các cấp, bệnh viện, chợ, tiện ích công năng không thiếu thứ gì.
+Cách nhà 200 có chỗ gửi ô tô ngày đêm phù hợp cho khách nhà nhỏ nhưng có ô tô.
+Xây 5 tầng khung cột chắc chắn, chủ làm ăn được nên muốn mua nhà rộng hơn.
+Sổ đỏ vuông vắn siêu đẹp
+Gần nhà có khu vui chơi cực rộng,…
LH xem nhà: 0941747210"	True	False	True	False	Ngõ Tựu Liệt	Ngõ Tựu Liệt	Ngõ Tựu Liệt
VỊ TRÍ ĐỘC NHẤT VÔ NHỊ - 2 MẶT THOÁNG	13.8	100	3.0	4.0		"Mô tả:

+ Ngõ to như phố, trước nhà 2 ô tô tránh thoải mái, vị trí cực kì đắc địa, lô góc 2 mặt thoáng.

+ Diện tích thực tế 100m2, mặt tiền 3.9m nở hậu siêu đẹp.

+ Căn nhà tự tay gia chủ thiết kế và xây dựng, cực kì tâm huyết.

+ Thiết kế:

+ Tầng 1: Gara ô tô, phòng trưng bày, kho.

+ Tầng 2: Khách, bếp.

+ Tầng 3: 2 phòng ngủ.

+ Tầng 4: Phòng thờ, sân phơi, ban công.

+ Do nhu cầu sử dụng cần ít phòng ngủ nên gia chủ tối ưu hoá khu sinh hoạt chung, căn nhà có thể bố trí thành 3 - 4 ngủ thoải mái"	True	False	True	False	Vô Nghi	Vô Nghi	Vô Nghi
Bán nhà 3 tầng độc lập phố Tô Hiệu, Lê Chân, Hải Phòng.88m2. 3 tầng. Hướng: Nam	2.1	88	3.0	4.0	Tô Hiệu, Lê Chân, Hải Phòng	"Bán nhà 3 tầng độc lập phố Tô Hiệu, Lê Chân, Hải Phòng.
- Diện tích: 88m2* 3 tầng
- Ngang:5,4m
- Hướng: Nam
- Sổ đỏ chính chủ
- Nhà dân xây độc lập với cấu trúc: Phòng khách, bếp, phòng thờ, 3 phòng ngủ, 4wc.
- Giá: 4,79 tỷ (TT) .
LH Mrs Tâm: 0796-336-866 CDT Gruop Sàn Bán Nhà Hải Phòng"	False	False	True	False	phố Tô Hiệu, Lê Chân, Hải Phòng	Tô Hiệu, Lê Chân, Hải Phòng	phố Tô Hiệu, Lê Chân, Hải Phòng
BÁN NHÀ MẶT TIỀN ĐƯỜNG 588 Phước Long A Thủ Đức- 90m2 - 200m ra Nhà Ga Bình Thái	4.79	90	4.0	1.0	Đường số 588 Phường Phước Long A TP.Thủ Đức	"Bán nhà C4 - 71m2 Mặt Tiền đg.giá chỉ 4.8ty TL
70m ra Xa Lộ Hà Nội ( Võ Nguyên Giáp )
200m ra nhà ga Metro Bình Thái
Nhà mặt tiền đường 588 Phước Long A - Thủ Đức
Diện tích 4 X 20. Tổng 90m2 - 71m2 công nhận.dư 20m trồng cây thả cá, làm sân chơi,hòn non bộ...
Sổ đang trong tủ đợi ngày sang tên
Lhe em Hiếu 24/7 Xem nhà + sổ"	False	False	True	True	đường 588 Phước Long A, Thủ Đức	Đường số 588 Phường Phước Long A TP.Thủ Đức	đường 588 Phước Long A, Thủ Đức
BÁN NHÀ HXH NGUYỄN HỮU TIẾN, TÂN PHÚ - 64M2 SỔ A4 - NHÀ 3 TẦNG - CHỈ 4 TỶ 2	4.8	64	3.0	3.0	Thành phố Hồ Chí Minh	"Mô tả:
+ Vị trí rất đẹp ngay khu Công Nghệ Tân Bình, Aeon Mall Tân Phú, sân bay 15p.
+ Kết cấu: 1 trệt 2 lầu, 3PN lớn + WC.
+ Diện tích: 64m2 ( 4x16 ) sổ vuông A4.
+ Hẻm xe hơi đổ cửa, khu an ninh, dân trí cao, đáng sống bậc nhất.
+ Tiện ích xung quanh đầy đủ không thiếu gì, gần Chợ, trường học các cấp, Trung Tâm thương mại.
+ Sổ vuông, pháp lý chuẩn, công chứng ngay.
=============================
???? Hãy gọi xem nhà ngay: 0354 299 320"	False	True	True	False	Nguyễn Hữu Tiến, Quận Tân Phú	Thành phố Hồ Chí Minh	Nguyễn Hữu Tiến, Quận Tân Phú
Siêu giảm giá nhà 2 lầu hẻm 3 gác đường thống nhất p16 gò vấp tphcm	4.2	40				"✈️ BÁN GẤP NHÀ 2 TẦNG HẺM 3 GÁC SỐ 440 ĐƯỜNG THỐNG NHẤT P16 GÒ VẤP

???? Vị trí : ĐẸP , DÂN TRÍ THÂN THIỆN , AN NINH TỐT , CÁCH VÀI BƯỚC CHÂN RA MẶT TIỀN THỐNG NHẤT SẦM UẤT

???? HẺM 3 GÁC , KHU VỰC TIẾP GIÁP VỚI NHIỀU TUYẾN ĐƯỜNG HUYẾT MẠCH CỦA GÒ VẤP , GẦN CHỢ , TRUNG TÂM THƯƠNG MẠI , SIÊU THỊ , TRƯỜNG CẤP 123 , SÂN BAY , SÂN GOLF VÀ RẤT RẤT NHIỀU TIỆN ÍCH XUNG QUANH KHÁC

⭐️ Kết Cấu : BTCT , CÓ GIẾNG TRỜI ĐỐI LƯU GIÓ NÊN CĂN NHÀ CỰC KỲ MÁT MẺ , PHÒNG KHÁCH , NHÀ BẾP , PHÒNG NGỦ ĐƯỢC GIA CHỦ BỐ TRÍ PHỐI HỢP RẤT SANG TRỌNG VÀ KHOA HỌC

???? DT 4,3*9,5 GIÁ CHỈ CÓ 3.65 TỶ LẠI ĐƯỢC TẶNG FULL NỘI THẤT HIỆN ĐẠI"	False	False	True	False	đường Thống Nhất, Phường 16, Quận Gò Vấp	đường Thống Nhất, Phường 16, Quận Gò Vấp	đường Thống Nhất, Phường 16, Quận Gò Vấp
4 tỷ nhỉnh, nhà đẹp HXH trung tâm Gò Vấp, 45m2, BTCT 3 tầng Quang Trung, P11, giá TLCC	3.65	44		3.0	nguyen van khoi. go vap	"????4 TỶ NHỈNH - NHÀ ĐẸP HẺM XE HƠI TRUNG TÂM GÒ VẤP - DT 45M2 (4.5x10) - 3 TẦNG 3PN - NGAY CHỢ HẠNH THÔNG TÂY - QUANG TRUNG, P11 - GẤP BÁN - GIÁ TL????????

- DT 4.5x10, nhà mới đẹp, BTCT kiên cố trệt 2 lầu, 3PN 3WC, phòng khách, Bếp…
- Vị trí đẹp, hẻm xe hơi, gần Chợ Hạnh Thông Tây, siêu thị Coop Mart…kimuyen4.75
- Sổ hồng riêng hoàn công đủ"	False	False	True	False	Quang Trung, Phường 11, Quận Gò Vấp	nguyen van khoi. go vap	Quang Trung, Phường 11, Quận Gò Vấp
Nhà rộng hẻm thoáng, ô tô đỗ cửa Ni Sư Huỳnh Liên, 3.5 tỷ	3.7	42	2.0	2.0	Ni Sư Huỳnh Liên, P.10, Tân Bình	Nhà 1 trệt 1 lầu đúc kiên cố, gồm 2 phòng ngủ, 2 vệ sinh, có giếng trời, ban công thoáng mát. Hẻm thông thoáng, cách 20m ra đường chính. Vị trí trung tâm Tân Bình, đi đâu cũng tiện, gần khu Bàu Cát, tiện ích dịch vụ đầy đủ xung quanh. Pháp lý chuẩn, sổ hồng riêng. Xem nhà liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.	False	False	True	False	Ni Sư Huỳnh Liên, Quận Tân Bình	Ni Sư Huỳnh Liên, P.10, Tân Bình	Ni Sư Huỳnh Liên, Quận Tân Bình
Nhà phố khương trung, thanh xuân 60m2 giá 12 tỷ	3.5	60				"- Nhà mặt phố 60m2, dân xây chắc chắn 7 tầng
- Mặt tiền 4 m, rộng rãi
- Vị trí đẹp, giao thông thuận lợi
- Tiềm năng kinh doanh lớn (nhà đang cho thuê kinh doanh tầng 1, 45 triệu/ tháng)
Cụ thể:
- Tầng 1: Mặt bằng kinh doanh.
- Tầng 2 - 7: Mỗi tầng 2 phòng ngủ + WC khép kín
- Sổ đỏ chính chủ, vuông vắn, pháp lý sạch, giao dịch ngay
- Liên hệ xem nhà ngay: 0919293220"	False	True	True	False	đường Khương Trung, Quận Thanh Xuân	đường Khương Trung, Quận Thanh Xuân	đường Khương Trung, Quận Thanh Xuân
Nhà ngã tư sở, lô góc 3 mặt thoáng, 40m2, dân xây 4 tầng chắc chắn, giá nhỉnh 7 tỷ	12	40			Đống Đa, Hà Nội	"Gần nhiều trường học, trung tâm thương mại, bệnh viện lớn. Giao thông thuận tiện, an sinh đỉnh, Tiềm năng kinh doanh lớn
- Tầng 1: Phòng Khách, Bếp, WC.
- Tầng 2,3: Mỗi tầng 2 phòng, WC
- Tầng 4: Tum kho để đồ
- Sổ đỏ chính chủ, vuông vắn
Liên hệ xem nhà ngay: 0919293220"	False	False	True	False	Ngã tư sở, lô góc 3 mặt thoáng	Đống Đa, Hà Nội	Ngã tư sở, lô góc 3 mặt thoáng
