Unnamed: 0	Address2	Latitude	Longitude
40	cách mặt tiền Cách mạng tháng 8, phường ...	107.823.007	1.066.732.448
41	33m, Quận ?		
42	Trịnh Đình Cửu, Quận Thanh Xuân	209.959.819	1.058.097.244
43	Ngõ Tiến Bộ, Khâm Thiên Phố, Đống Đa	210.193.257	1.058.331.018
44	HXT tránh Nguyễn Văn Khối, Phường 11, Quận Gò Vấp	108.422.284	106.659.167
45	con phố Láng Hạ	210.168.879	1.058.152.669
46	đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân	107.578.769	1.066.144.841
47	đường An Phú, Quận 2	107.935.216	1.067.308.195
48	KĐT Đô Nghĩa, Hà Đông	209.570.705	1.057.373.505
49	H Street 16, Hiệp Bình Chánh	108.083.711	1.068.228.052
50	Lý Thánh Tông, Quận Tân Phú	107.668.763	1.066.274.134
51	hẻm Ô TÔ, Quận 7	107.340.344	1.067.215.787
52	đường Quang Trung, Phường 8, Quận Gò Vấp	108.388.835	1.066.488.544
53	Võng Thị, Tây Hồ	210.516.835	1.058.112.908
54	hẻm 199 Nguyễn Đức Thuận, Hiệp Thành, Thủ Dầu Một	110.044.965	1.066.528.424
55	Hương Lộ 2, Bình Trị Đông, Bình Tân	107.695.049	10.661.276
56	Kiến Hưng, Hà Đông	209.528.073	1.057.850.022
57	Phố Vạn Phúc, Quận Hà Đông	209.752.422	1.057.865.196
58	đường 19,5m, Phú Mỹ An, Huế	164.626.113	1.076.153.514
59	đường Hoàng Như Tiếp, Long Biên	210.405.377	1.058.776.934
60	Việt Hưng, Long Biên	210.575.538	1.059.024.322
61	Nguyễn Lam, Chu Huy Mân, Mai Phúc, Long Biên	210.400.626	1.058.986.779
62	Lạc Long Quân, Ni Sư Huỳnh Liên, Quận ?	107.821.653	1.066.501.308
63	Phạm Văn Chiêu, Phường 14, Quận Gò Vấp	108.484.293	106.648.556
64	đường Số 4, phường 11, quận Gò Vấp	108.467.199	1.066.578.739
65	Phạm Văn Hai, Quận Phú Nhuận	107.991.944	1.066.802.639
66	Lũy Bán Bích, Quận Tân Phú	107.766.943	1.066.341.303
67	Đường Huỳnh Thúc Kháng	210.199.666	1.058.081.833
68	phố Nhuệ Giang, ngõ rỗi, Quận Hà Đông	209.711.079	1.057.816.523
69	Mậu Lương, Hà Đông	209.584.268	1.057.945.406
70	đường Mễ Trì Thượng, Phường Mễ Trì Thượng, Quận Nam Từ Liêm	210.066.044	1.057.775.784
71	Trung tâm Vạn Phúc, Hà Đông	209.786.876	105.771.796
72	Huyện Hoàng Mai	192.683.318	1.057.161.966
73	đường Lê Trọng Tấn	209.818.482	105.742.568
74	Ngã 4 Tân Phong, TP Biên Hòa	109.688.203	1.068.533.691
75	Phố Tô Hiệu, Lê Chân, Hải Phòng	208.508.055	1.066.789.703
76	đường Vườn Lài, Quận Tân Phú	107.881.471	1.066.297.747
77	Đường Tôn Đản	107.580.086	1.067.065.435
78	Tân Phong, Thành phố Biên Hòa	109.827.185	1.068.395.407
79	Tân Phong, Thành phố Biên Hòa	109.827.185	1.068.395.407
80	Quang Châu, Hòa Châu, quận Hòa Vang, thành phố Đà Nẵng	15.977.101	1.081.977.188
81	Nguyễn Thượng Hiền, Phường 1, Gò Vấp	10.812.763	1.066.852.877
82	đường Ô Tô, Phường Tân Vạn	109.117.711	1.068.272.458
83	Khu đô thị Eurowindow Twin Parks, trung tâm phía Đông Hà Nội	21.014.672	1.058.234.662
84	Khu đô thị Eurowindow Twin Parks, trung tâm phía Đông Hà Nội	21.014.672	1.058.234.662
85	đường Đỗ Văn Thi, Phường Hiệp Hòa	109.378.305	1.068.383.495
86	đường Mỹ An 4, Sát Mai, Hắc Đế, gần Vimcom Sơn Trà, Đà Nẵng	160.649.429	1.082.314.038
87	đường Sau lưng Gigamall, Quận Thủ Đức	108.276.425	1.067.214.707
88	đường Trần Văn Dư	108.027.435	1.066.443.401
89	Mậu Lương, Kiến Hưng, Hà Đông	209.567.104	1.057.936.155
90	Lũy Bán Bích, Huỳnh Thiện Lộc, Quận Tân Phú	107.806.065	1.066.358.081
91	Khu đô thị Kim Cương Vsip, Từ Sơn	210.777.814	105.967.025
92	Lũy Bán Bích, Quận Tân Phú	107.766.943	1.066.341.303
93	đường Âu Cơ, Phường ?, Quận Tân Phú	107.879.245	1.066.408.945
94	Phùng Hưng, Hà Đông	209.691.613	1.057.853.182
95	đường Mỹ Đa Tây, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng	160.303.034	1.082.399.147
96	đường Tân Cảng, Phường 25, Quận Bình Thạnh	108.019.447	1.067.220.247
97	đường Đại Mỗ, khu Biệt thự Viglacera Đại Mỗ	2.099.235	1.057.620.667
98	phố Thanh Bình, ngõ ô tô tránh, phường TP, quận Hà Đông	209.807.436	1.057.788.182
99	phố Chiến Thắng, Văn Quán	20.977.396	1.057.971.636
100	đường Số 8, Phường 11, Gò Vấp	108.414.544	1.066.624.967
101	đường Số 8, Phường 11, Quận Gò Vấp	108.414.544	1.066.624.967
102	Việt Hưng	21.140.921	1.058.789.403
103	Tân Phú, Khu Vip Tô Hiêu	107.691.501	1.066.269.722
104	Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức	108.317.581	106.776.557
105	Ngõ Nguyễn Chí Thanh, Quận...	210.225.595	1.058.096.452
106	Lê Duẩn, Đà Nẵng	160.705.644	1.082.150.839
107	Ngõ Nguyễn Chí Thanh	210.225.595	1.058.096.452
108	Tân Mai	20.983.687	105.848.156
109	Ngô Thì Hương, Quận Sơn Trà, Đà Nẵng	160.967.584	1.082.328.533
110	Lý Chiêu Hoàng, Bình Tân giáp Quận 6	107.378.114	1.066.287.974
111	đường Lý Chiêu Hoàng, Quận 6	107.378.114	1.066.287.974
112	đường Hiệp Thành, quận Hiệp Thành	108.750.169	1.066.292.408
113	đường Số 8, Phường 11, Quận Gò Vấp	108.414.544	1.066.624.967
114	Phú Mỹ Hưng, Quận 7	107.226.024	1.067.280.326
115	đường Hoàng Sâm, Phùng Chí Kiên, Quận Cầu Giấy	210.431.373	1.058.025.354
116	đường Hoàng Sâm, Phùng Chí Kiên, Quận Cầu Giấy	210.431.373	1.058.025.354
117	đường Gò Dầu, Phường Tân Quý, Quận Tân Phú	107.957.389	1.066.212.329
118	đường Chu Văn An, Phường 12, Quận Bình Thạnh	108.109.464	1.067.019.597
119	đường Nguyễn Hữu Cảnh, Tân Uyên, Bình Dương	110.696.512	1.067.792.497
120	Dường Dương Quảng Hàm, Phường 5, Quận Gò Vấp	108.283.702	1.066.897.365
121	phố Huỳnh Thúc Kháng, Quận Đống Đa	210.199.666	1.058.081.833
122	Lê Quang Định, Bạch Đằng, Chu Văn An	108.026.896	1.066.985.516
123	acoes 700 triệu, Thành phố Biên Hoà	109.574.128	1.068.426.871
124	TP Tân Uyên, Bình Dương	111.111.341	1.067.942.405
125	Nguyễn Hữu Cảnh, Uyên Hưng, Tân Uyên, Bình Dương	110.841.596	1.067.883.416
126	đường Linh Đông, Phường Linh Đông, TP Thủ Đức	108.479.658	1.067.467.678
127	đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận	107.908.574	1.066.728.765
128	Quận Tân Bình	108.014.659	1.066.525.974
129	Trần Duy Hưng, Cầu Giấy	210.106.758	1.057.995.616
130	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
131	Bàu Cát, Quận Tân Bình	107.918.013	1.066.439.464
132	đường số 8, Phường 11, Quận Gò Vấp	108.414.544	1.066.624.967
133	Đường Nguyễn Đức Cảnh, Phường Lê Chân, Hải Phòng	208.546.393	1.066.745.767
134	đường Nguyễn Đức Cảnh, Lê Chân, Hải Phòng	208.546.393	1.066.745.767
135	đường Bạch Đằng, Hai Bà Trưng	21.015.357	1.058.652.385
136	đường Hồ Sen, Lê Chân, Hải Phòng	208.432.426	1.066.821.165
137	Vũng Tàu	104.113.797	107.136.224
138	Trung Tả, Đống Đa	210.201.416	1.058.344.244
139	Phan Văn Trị, Phường 10, Quận Gò Vấp	108.327.364	1.066.724.769
140	Phan Văn Trị, Phường 11, Quận Bình Thạnh	108.159.197	1.066.952.001
141	đường Giáng Hương, dãy nhà phố Dah2, phân khu Dahlia, khu đô thị Ecogarden		
142	đường Trần Phú, khu đô thị Văn- Quán, Quận Hà Đông	209.799.246	1.057.873.752
143	đường Bình Chiểu, Phường Bình Chiểu, TP. Thủ Đức	108.745.911	1.067.340.561
144	Tân Hòa 2, Hiệp Phú, TP. Thủ Đức	10.851.896	106.784.689
145	Nguyễn Văn Cừ		
146	Lê Văn Sĩ, Hoàng Văn Thụ, Quarter 3	108.000.105	106.660.717
147	Ngõ vào Định Công Thượng	209.826.822	1.058.209.967
148	Bưng Ông Thoàn, Tăng Nhơn Phú B, Tp. Thủ Đức	108.242.301	1.067.908.665
149	Đường Bùi Hữu Nghĩa, Phường Bình Thạnh	107.975.726	1.066.988.153
150	 Tam Trinh, Yên Sở	209.738.248	1.058.660.972
151	mặt phố, Hà Đông	20.955.835	1.057.563.658
152	Đàm Quang, Quận Long Biên	210.548.635	1.058.884.966
153	Đàm Quang, Trung Long Biên	210.239.608	1.058.947.852
154	đội Cấn, quận Ba Đình	210.353.362	1.058.238.927
155	trung tâm Hà Nội	210.277.644	1.058.341.598
156	ECOGARDEN		
157	Khuông Việt		
158	đường Lê Văn Quý, Bình Tân	107.652.581	1.066.038.535
159	Phùng Chí Kiên		
160	Phố, Quận Biên Hòa	109.600.341	1.068.098.485
161	Phố chính, Hà Đông	20.955.835	1.057.563.658
162	Khu VIP Nguyễn Văn Lương, Quận 6	107.434.224	1.066.346.829
163	đường Phan Chu Trinh, Phường Quang Vinh	10.949.032	1.068.157.544
164	đường P. Tân Phong, Quận ??	107.221.275	1.067.145.038
165	Phạm Văn Đồng, Phường 11, Quận Bình Thạnh	108.204.226	1.066.942.397
166	đường Nguyễn Sơn, đường Nguyễn Văn Cừ, phường Gia Thuỵ, quận Long Biên	210.467.846	1.058.782.157
167	Khu vực Nguyễn Sơn-Gia Thuỵ	210.455.138	1.058.808.854
168	Hào Nam, Đống Đa	210.252.222	1.058.272.153
169	Văn Quán	218.628.802	1.065.377.839
170	Cầu Am, Vạn Phúc, Hà Đông	209.773.501	1.057.774.475
171	khu dân cư Hai Thành, Tên Lửa	107.477.814	1.065.830.486
172	đường số 18		
173	phố Chu Huy Mân, Long Biên	210.444.978	1.059.074.374
174			
175	đường số 12, khu Tên Lửa	107.478.829	1.066.118.492
176	đường An Dương Vương, Phường An Lạc, Quận Bình Tân	107.278.848	1.066.203.589
177	Hương Lộ 2, Bình Trị Đông, Bình Tân, Ho Chi Minh City	107.695.049	10.661.276
178	đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.673.378	1.066.230.141
179	hẻm xe hơi, đường Phan Anh, Bình Trị Đông, Bình Tân, TP. HCM	107.673.378	1.066.230.141
180	Đội Cấn, ...		
181	 		
182	Mễ Trì Nam Từ Liêm, Ngõ Thông, Đại Lộ Thăng Long, Mỹ Đình	210.030.134	1.057.780.595
183	đường Hoàng Quốc Việt, Phường Linh Đô, Quận Cầu Giấy	210.460.525	105.793.266
184	TP Tân Uyên	11.049.492	1.067.576.751
185	ngõ 219, phố Định Công Thượng, phường Định Công Thượng, quận Hoàng Mai, Hà Nội	209.860.376	1.058.237.322
186	Lã Xuân Oai, Tăng Nhơn Phú A	108.398.715	1.067.953.202
187	Ngọc Thụy	210.588.582	1.058.583.873
188	Đội Cấn, Quận Ba Đình	210.353.362	1.058.238.927
189	Bờ Bao Tân Thắng, gần Chợ Sơn Kỳ	108.011.535	1.066.183.755
190	Lã Xuân Oai, Tăng Nhơn Phú A, TP. Thủ Đức	108.398.715	1.067.953.202
191	Khu du lịch Bửu Long, TP Biên Hòa	10.961.375	106.792.792
192	151 Láng Hạ, Quận Đống Đa	210.111.973	1.058.118.243
193	đường Âu Cơ, Quận Tân Phú	107.879.245	1.066.408.945
194	Lạc Long Quân		
195	đường(percent, Quận Nam Từ Liêm, Tổng công ty Mỹ Đình, Hà Nội	210.256.221	1.057.677.817
196	Ngô Quyền, khu đô thị Văn Khê	209.708.916	1.057.643.286
197	hẻm 4.5m, Nguyễn Văn Khối, Phường 11, Quận Gò Vấp	108.422.284	106.659.167
198	đường Bùi Hữu Nghĩa, Phước Hòa, Quận Hóa An	109.335.954	10.679.719
199	Bán nhà riêng chính chủ đầy đủ giấy tờ Pháp lý và cách trung tâm Tp 05phút		
200	mặt phố lớn, khu vực dân trí, gần trường học, chợ, siêu thị...		
201	Cống Lỡ, Quận Tân Bình	108.265.968	1.066.358.376
202	Cống Lỡ, Quận Tân Bình	108.265.968	1.066.358.376
203	Cống Lỡ, Quận Tân Bình	108.265.968	1.066.358.376
204	Nguyễn Trung Trực, Phường 5, Bình Thạnh	108.122.478	1.066.863.715
205	ngõ thoáng sạch sẽ, khu vực trung tâm Văn Quán, Hà Đông	20.968.659	1.057.720.354
206	Cầu Kinh Mới, Ấp Láng Tân Thành, Gò Công Đông, Tiền Giang	102.972.649	1.067.588.494
207	đường Lê Quang Đạo, Nam Từ Liêm, Hà Nội	210.124.718	105.770.698
208	đường Thuỵ Khuê, Tây Hồ	210.434.142	1.058.211.387
209	Nguyễn Văn Linh		
210	Hẻm 87, đường Lê Thị Hoa, Phường Bình Chiểu, Quận Thủ Đức	108.743.126	1.067.366.019
211	ngoại bộ khu Tân Tạo, đối diện Bonchen	243.317.733	1.206.533.224
212	mặt phố Cổ Linh	210.260.537	1.058.985.417
213	ngõ Matiz, Trung tâm Đa sỹ, cạnh khu Kiến Hưng	209.592.584	1.057.857.359
214	Gần Khu Du Lịch Bửu Long, Phường Bửu Long, Thành phố Biên Hòa	10.961.375	106.792.792
215	đường Gần Khu Du Lịch Bửu Long, Phường Bửu Long, Thành phố Biên Hòa	10.961.375	106.792.792
216	Thụy Khuê, Tây Hồ, Hà Nội	21.046.133	1.058.246.266
217	Đường Thanh Xuân 43, Quận 12	108.900.839	1.066.820.517
218	đông Đa, phườngninger	210.180.725	1.058.299.495
219	Tân Bình, TP.HCM	108.014.659	1.066.525.974
220	Ðường Lộ 2, Phường Bình Tân	107.652.581	1.066.038.535
221	Mân Quang, Sơn Trà, Quận Đà Nẵng	161.040.116	1.082.408.398
222	Nguyễn Trãi, Quận Thanh Xuân	209.935.474	1.058.062.968
223	Xuân Phương	210.314.868	1.057.497.878
224	đường Bạch Mai, Phường Hai Bà Trưng	209.964.802	1.058.622.838
225	đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận	107.974.655	1.066.819.707
226	Vương Thừa Vũ, quận Thanh Xuân	209.989.203	105.821.837
227	Trần Kế Xương, Phường 7, Quận Phú Nhuận	108.023.412	1.066.903.706
228	đường Quang Trung, Phường 11, Quận Gò Vấp	108.358.112	1.066.608.026
229	Thạch Lam, Quận Tân Phú	107.780.407	1.066.274.906
230	Thạch Lam, Quận Tân Phú	107.780.407	1.066.274.906
231	phố Trần Phú, ngõ thông tứ phía, Hà Đông	20.955.835	1.057.563.658
232	Mậu Lương, Kiên Hưng, Hà Đông	209.567.104	1.057.936.155
233	Mậu Lương, Kiến Hưng, Hà Đông	209.567.104	1.057.936.155
234	Lũy Bán Bích	107.769.934	1.066.343.345
235	Lũy Bán Bích	107.769.934	1.066.343.345
236	đường Thuận An, Quận Gia Lâm	210.105.208	105.952.941
237	đường Chiến thắng, ngõ oto		
238	Phố Thanh Nhàn, Quận Hai Bà Trưng	210.027.414	1.058.563.274
239	Ngõ Ba Gác Đua, Đống Đa	21.016.646	1.058.395.069
240	Phan Đăng Lưu, Nguyễn Văn Đậu, Quận Bình Thạnh	108.038.834	1.066.869.521
241	đường 7, KDT Vạn Phú City, Phường Hiệp Bình Phước, TP Thủ Đức	108.414.606	106.709.574
242	Ông Ba Gác, Phường Vạn Phúc	209.786.876	105.771.796
243	đường ô tô, Phường Hiệp Hoà	10.932.876	1.068.379.803
244	đường ô tô, Phường Bửu Long	109.586.438	1.068.053.993
245	đường ô tô, Phường Bửu Long	109.586.438	1.068.053.993
246	na		
247	phố Nhân Hòa, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội	21.002.125	1.058.089.493
248	Hòa Hưng, Phường 12, Quận 10	107.789.834	1.066.738.954
249	Phú Quốc	10.289.879	10.398.402
250	Nguyễn Chí Thanh, Huỳnh Thúc Kháng, Quận	210.198.726	105.808.345
251	Nguyễn Chí Thanh, khu vực Huỳnh Thúc Kháng, Quận	210.199.666	1.058.081.833
252	Tân Phú	107.900.517	1.066.281.901
253	đường Bùi Minh Trực, Phường 5, Quận 8	107.383.744	1.066.586.009
254	Đường số 5, Phường 5, Quận 8	107.362.168	1.066.744.709
255	Phố Vọng, Hai Bà Trưng, Hà Nội	210.090.571	1.058.607.507
256	đường Khương Hạ, phố Bùi Xương Trạch, phường Thanh Xuân	108.834.303	1.066.703.963
257	Tân Phú, đường kinh doanh,etas	107.900.517	1.066.281.901
258	Ngõ oto thông sang, gần bệnh viện Thanh Nhàn	210.035.559	105.859.375
259	Trương Đinh, ngõ nông		
260	đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp	108.421.309	1.066.598.474
261	Trần Kế Xương, Phường 7, Quận Phú Nhuận	108.023.412	1.066.903.706
262	Vạn Kiếp, Phường 3, Quận Bình Thạnh	107.994.304	1.066.935.618
263	Huỳnh Thị Bảo Hòa, Thông Nam Cao liên, Chiểu, Đà Nẵng	16.050.026	1.081.479.852
264	phố Vương Thừa Vũ, quận Thanh Xuân	209.989.203	105.821.837
265	đường Dương Quảng Ẩm, quận...	210.085.686	1.059.905.529
266	Đường Dương Quảng Hàm, K.Lộ Giới	108.296.599	1.066.885.999
267	Tô Vĩnh Diện, Quận Thanh Xuân	209.996.942	1.058.209.239
268	đường Phạm Văn Trị, Phường 11, Quận Bình Thạnh	108.159.197	1.066.952.001
269	đường Nguyễn Khang	210.218.708	105.799.875
270	đường Trần Phú, Ngô Quyền, Hải Phòng	208.624.964	1.066.899.532
271	Phú Thượng, Quận Tây Hồ	210.838.905	1.058.084.823
272	Đa Sỹ, Kiến Hưng	209.592.584	1.057.857.359
273	đường Nguyễn Bặc, Phường 3, Quận Tân Bình	107.944.664	106.662.427
274	Hồng Mai, Hai Bà Trưng	209.989.094	1.058.532.637
275	đường tỉnh 266, Điềm Thuỵ, Sông Công, Thái Nguyên	214.588.593	1.059.171.161
276	TP.HCM	108.230.989	1.066.296.638
277	đường Thiên Phước, Phường 9, Quận Tân Bình	1.077.704	1.066.545.298
278	Hẻm 3, Quận Tân Phú	107.826.958	1.066.203.951
279	đường Nguyễn Trãi, Quận Thanh Xuân	209.935.474	1.058.062.968
280	phố Nguyễn Trãi, quận Thanh Xuân	209.935.474	1.058.062.968
281	đường Lê Văn Thọ, Phường 9, Quận Gò Vấp	108.455.819	1.066.570.168
282	đường Phạm Khiêm Ích, Ngũ Hành Sơn, Đà Nẵng	160.176.106	1.082.563.147
283	Lý Thường Kiệt, Phường 8, Quận Tân Bình	107.844.579	1.066.541.494
284	Lý Thường Kiệt, Phường 8, Quận Tân Bình	107.844.579	1.066.541.494
285	Nguyễn Ái Quốc, Phường Trung Dũng, Thành phố Biên Hòa, Đồng Nai	109.562.652	1.068.224.965
286	Trường Chinh, Tây Thạnh	108.147.398	1.066.322.462
287	Quận 3	107.843.695	1.066.844.089
288	đường Trần Quốc Hoàn, Cầu Giấy, Hà Nội	210.416.528	1.057.859.318
289	Trần Quốc Hoàn, Cầu Giấy	210.416.528	1.057.859.318
290	Đường Điện Biên Phủ, Tổ 3, Thị Xã Sapa, Tỉnh Lào Cai	223.407.143	1.038.407.273
291	đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên	210.439.702	1.058.726.071
292	P10, Gò Vấp	108.329.295	1.066.718.702
293	Ngã Tư Lũy Bán Bích, Hiệp Tân, Quận Tân Phú	107.714.135	1.066.319.887
294	Hùng Vương, Hồng Bàng, Hải Phòng	208.758.973	1.066.379.724
295	đường Nguyễn Ái Quốc, P. Hố Nai	109.239.845	1.068.049.789
296	Hương Lộ 2	107.670.756	1.066.075.906
297	đường số 4, Phường Bình Chiểu, Quận Thủ Đức	1.087.579	1.067.229.308
298	đường Nguyễn Văn Cục, Long Biên, Hà Nội	210.548.635	1.058.884.966
299	Lê Đức Thọ, Gò Vấp	10.848.289	1.066.675.573
300	đường Thịnh Quang, phường Thịnh Quang, Quận Đống Đa, Hà Nội	210.101.897	1.058.186.922
301	Kho-Kiêt Tâm, Bình Chiểu, Thủ Đức	108.830.404	1.067.264.125
302	Phường Hiệp Bình Chánh, Quận Thủ Đức, TP.Thủ Đức	108.339.953	1.067.264.125
303	Mới Xây Đã Hoàn Công Đầy Đủ Nội Thất		
304	ngân hàng, sổ hồng riêng		
305	Ngõ Nguyễn Trãi, Kim Giang, Thanh Xuân	209.935.474	1.058.062.968
306	Ngô Quyền, quận Hà Đông	209.707.942	1.057.663.373
307	đường Lê Văn Khương, Quận 12	108.631.838	1.066.497.393
308	Đội Cấn		
309	đường Phạm Văn Bạch, gần Trần Thái Tông, Trường Chinh		
310	Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh	107.933.763	1.067.182.627
311	Lê Văn Thọ, Phường 9, Quận Gò Vấp	108.472.879	1.066.569.162
312	Gò Vấp	108.386.779	1.066.652.904
313	Quận 8	107.240.878	1.066.286.259
314	Chợ Long Cang	105.855.704	106.517.829
315	Sở Dầu, Hồng Bàng, Hải Phòng	208.683.599	1.066.556.575
316	 Near the street		
317	đường Hồ Sen, Lê Chân, Hải Phòng	208.432.426	1.066.821.165
318	Phố Đội Cấn, Quận Ba Đình	210.353.698	1.058.192.143
319	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
320	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
321	đường Trần Kế Xương, Phường 3, Quận Bình Thạnh	108.022.952	1.066.917.901
322	phố cổ Hòa Kiếm, sổ Via Hè, quận	210.352.664	1.058.500.124
323	Đóng đa-lô Góc 36m, Quận Thổ Quan	210.169.746	105.834.167
324	Mặt đường VIP, Quận Long Biên	210.548.635	1.058.884.966
325	Nguyễn Văn Khối, Lê Văn Thọ	108.426.232	1.066.571.501
326	HXT tránh, Gò Vấp, Phường 9	108.475.319	1.066.541.837
327	/QĐ Lê Văn Việt, Lã Xuân Oai, Ngã tư Thủ Đức	108.491.371	1.067.740.409
328	Phường Tân Thới Nhất, Quận 12	108.292.885	1.066.143.944
329	Phường Tân Thới Nhất, Quận 12	108.292.885	1.066.143.944
330	PHƯỜNG TÂN THỚI NHẤT, Quận 12	108.292.885	1.066.143.944
331	Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12	108.306.005	1.066.135.139
332	mặt phố Long Biên	210.186.765	105.884.813
333	khu tái định cư Ngọc Thuỵ, đường 17.5m, huyện Long Biên	210.570.172	1.058.733.547
334	Dương Quảng Hàm, Phường 5, Gò Vấp	108.236.032	1.066.957.585
335	đường số 2, Phường Trường Thọ	108.384.723	1.067.505.567
336	Đường Nam Cầu Bính, Sở Dầu, Phường Hồng Bàng, Hải Phòng	208.704.214	1.066.596.012
337	đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp	108.434.536	1.066.511.637
338	Đội Cấn		
339	được Đội Cấn	210.353.698	1.058.192.143
340	Xuân La, Tây Hồ	210.596.756	1.058.040.796
341	đường bê tông thông		
342	đường Lê Văn Sỹ, Phường 10	107.933.988	1.066.695.074
343	đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức	108.745.911	1.067.340.561
344	Nguyễn Viết Xuân, Quận Hà Đông	209.703.917	1.057.697.163
345	Nguyễn Viết Xuân, Hà Đông	209.703.917	1.057.697.163
346	Kim Đồng, Quận Hoàng Mai	209.837.211	1.058.433.564
347	Giáp Bát	209.836.114	1.058.422.401
348	Hồ Đền Lừ	209.849.274	1.058.550.843
349	Lê Trọng Tấn, Thanh Xuân	20.993.927	1.058.314.531
350	hẻm Thảo Điền, Quận 2	107.935.216	1.067.308.195
351	Nguyễn Súy, Tân Quý, Tân Phú	107.922.004	1.066.224.456
352	Tỉnh Lộ 10, Quận 6	107.480.929	1.066.352.362
353	Hương Lộ 3, Bình Hưng Hòa, Bình Tân	107.987.166	1.066.125.495
354	Khương Đình	209.923.852	1.058.136.426
355	đường Ngô Quyền, Quận Sơn Trà, Đà Nẵng	160.812.594	1.082.355.606
