	Address1	Latitude	Longitude
25	Đường Thanh Bình, Phường Mỗ Lao, Quận Hà Đông, Hà Nội, -Dự án-	209.823.818	1.057.780.339
26	Tô Hiệu, Hà Đông	209.675.124	1.057.784.606
27	Đường Hùng Vương A16		
28	Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú	108.011.535	1.066.183.755
29	ngõ 3 phố Nhân Hòa, phường Nhân Chính, quận Thanh Xuân, Hà Nội	210.017.375	1.058.078.058
30	Ngõ Trương Định, Quận ???	209.937.815	1.058.466.875
31	Trần Phú, Ngô Quyền, Hải Phòng	208.589.455	1.066.871.535
32	X. Thạnh Phú	99.481.665	10.650.538
33	ngõ Văn Chương, Quận Đống Đa	210.206.275	1.058.364.076
34	Đường Nhựa 6m, Trường Sa, Phường 13, Quận Phú Nhuận	10.788.921	106.669.058
35	Cự Lộc,Thanh Xuân	210.012.554	1.058.137.407
36	phường Trúng Dũng, Biên Hòa, Đồng Nai	109.540.772	1.068.207.875
37	False		
38	Long Biên	210.186.765	105.884.813
39	VƯỜN LÀI	107.881.471	1.066.297.747
40	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
41	Ngõ 103	210.003.216	1.058.585.064
42	Trịnh Đình Cửu, Quận Thanh Xuân	209.959.819	1.058.097.244
43	Ngõ Tiến Bộ, Khâm Thiên Phố, Đống Đa	210.193.257	1.058.331.018
44	Nguyễn Văn Khối	108.429.616	1.066.529.357
45	con phố Láng Hạ	210.168.879	1.058.152.669
46	đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân	107.578.769	1.066.144.841
47	Quận 2, Hồ Chí Minh	107.935.216	1.067.308.195
48	Quận Hà Đông, Hà Nội	20.955.835	1.057.563.658
49	Đường số 16 Phường Hiệp Bình Chánh - TP.Thủ Đức	1.083.059	106.730.518
50	Lý Thánh Tông Hiệp Tân Tân Phú	107.668.763	1.066.274.134
51	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
52	Quang Trung		
53	Võng Thị, Bưởi, Tây Hồ, Hà Nội	210.516.835	1.058.112.908
54	199		
55	Hương Lộ 2, Bình Trị Đông, Bình Tân	107.695.049	10.661.276
56	Đa Sỹ, Kiến Hưng, Hà Đông	209.592.584	1.057.857.359
57	Vạn Phúc, Hà Đông	209.786.876	105.771.796
58	đường 19,5m, Phú Mỹ An, Huế	164.626.113	1.076.153.514
59	đường Hoàng Như Tiếp, Long Biên	210.405.377	1.058.776.934
60	Việt Hưng, Long Biên	210.575.538	1.059.024.322
61	Nguyễn Lam, Chu Huy Mân, Mai Phúc, Long Biên	210.400.626	1.058.986.779
62	Hồng Lạc, P.10, Tân Bình	107.874.845	1.066.470.684
63	Phạm Văn Chiêu	108.501.221	1.066.524.088
64	Đường Số 4		
65	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
66	Lũy Bán Bích, Quận Tân Phú	107.766.943	1.066.341.303
67	Thái Thịnh - Đống Đa	210.104.261	1.058.184.682
68	Nhuệ Giang	209.853.911	1.057.784.907
69	Mậu Lương	209.584.268	1.057.945.406
70	phường Mễ Trì, Quận Nam Từ Liêm,TP HÀ NỘI	210.055.267	1.057.791.327
71	Trung tâm Vạn Phúc, Hà Đông	209.786.876	105.771.796
72	Huyện Hoàng Mai	192.683.318	1.057.161.966
73	đường Lê Trọng Tấn	209.818.482	105.742.568
74	Biên Hòa	109.574.128	1.068.426.871
75	Tô Hiệu, Lê Chân, Hải Phòng	208.508.055	1.066.789.703
76	đường Vườn Lài, Quận Tân Phú	107.881.471	1.066.297.747
77	Đường Tôn Đản	107.580.086	1.067.065.435
78	thạnh phú	99.481.665	10.650.538
79	thạnh phú	99.481.665	10.650.538
80	Quang Châu, Hòa Châu, quận Hòa Vang, thành phố Đà Nẵng	15.977.101	1.081.977.188
81	Nguyễn Thượng Hiền, Phường 1, Gò Vấp	10.812.763	1.066.852.877
82	đường Ô Tô, Phường Tân Vạn	109.117.711	1.068.272.458
83	Phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội	210.082.777	1.059.426.744
84	Phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội	210.082.777	1.059.426.744
85	đường Đỗ Văn Thi, Phường Hiệp Hòa	109.378.305	1.068.383.495
86	mặt phố an mỹ 4		
87	Đường Số 28, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM	108.383.233	1.067.325.977
88	trần văn dư	108.077.565	1.066.446.375
89	Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội	209.567.104	1.057.936.155
90	Lũy Bán Bích, Huỳnh Thiện Lộc, Quận Tân Phú	107.806.065	1.066.358.081
91	Khu đô thị Vsip Từ Sơn, Bắc Ninh	210.785.932	1.059.684.556
92	Lũy Bán Bích, Quận Tân Phú	107.766.943	1.066.341.303
93	Âu Cơ Phú Trung Tân Phú	107.796.721	1.066.445.135
94	Phùng Hưng Hà Đông	209.691.613	1.057.853.182
95	27 Yên Bái, Hải Châu 1, Hải Châu, Đà Nẵng.	160.692.815	1.082.228.666
96	Tân Cảng , Phường 25, Bình Thạnh	108.019.447	1.067.220.247
97	Từ Liêm	210.034.608	1.057.703.287
98	Thanh Bình, Mỗ Lao, Hà Đông, Hà Nội, -Dự án-	209.823.818	1.057.780.339
99	Chiến Thắng Văn Quán Hà Đông	209.791.537	1.057.962.032
100	Đường Số 8	10.855.732	1.067.718.319
101	Đường Số 8	10.855.732	1.067.718.319
102	Việt Hưng	21.140.921	1.058.789.403
103	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
104	tăng nhơn phú , tp. thủ đức	108.409.534	10.679.719
105	Ngõ Nguyễn Chí Thanh, Quận...	210.225.595	1.058.096.452
106	Lê Duẩn, Đà Nẵng	160.705.644	1.082.150.839
107	Ngõ Nguyễn Chí Thanh	210.225.595	1.058.096.452
108	Tân Mai	20.983.687	105.848.156
109	Đường Ngô Thì Hương, Sơn Trà, Đà Nẵng	160.967.584	1.082.328.533
110	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
111	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
112	HT 26 - phường Hiệp Thành - quận 12	108.759.787	1.066.280.646
113	Đường Số 8	10.855.732	1.067.718.319
114	935/20/....		
115	Đường Hoàng SÂM, Cầu Giấy, HÀ NỘI	210.432.351	105.799.352
116	Đường Hoàng SÂM, Cầu Giấy, HÀ NỘI	210.432.351	105.799.352
117	Gò Dầu Tân Quý Tân Phú	107.957.389	1.066.212.329
118	Chu Văn An		
119	đường Nguyễn Hữu Cảnh, Tân Uyên, Bình Dương	110.696.512	1.067.792.497
120	Dường Dương Quảng Hàm, Phường 5, Quận Gò Vấp	108.283.702	1.066.897.365
121	phố Huỳnh Thúc Kháng, Quận Đống Đa	210.199.666	1.058.081.833
122	Lê Quang Định, Bạch Đằng, Chu Văn An	108.026.896	1.066.985.516
123	Biên Hòa	109.574.128	1.068.426.871
124	Nguyễn Hữu Cảnh		
125	Đường Nguyễn Hữu Cảnh Phường Uyên Hưng TP Tân Uyên Bình Dương	110.696.512	1.067.792.497
126	Đường Số 24, Phường Linh Đông, Quận Thủ Đức, TP HCM	10.850.931	1.067.427.323
127	đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận	107.908.574	1.066.728.765
128	Trần Văn Quang P10 Tân Bình	10.779.581	1.066.471.074
129	Trần Duy Hưng, Cầu Giấy	210.106.758	1.057.995.616
130	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
131	Bàu Cát, Quận Tân Bình	107.918.013	1.066.439.464
132	Đường Số 8	10.855.732	1.067.718.319
133	Nguyễn Đức Cảnh, Lê Chân, Hải Phòng	208.503.454	1.066.659.534
134	Nguyễn Đức Cảnh, Lê Chân, Hải Phòng	208.503.454	1.066.659.534
135	đường Bạch Đằng, Hai Bà Trưng	21.015.357	1.058.652.385
136	Hồ Sen, Lê Chân, Hải Phòng	208.432.426	1.066.821.165
137	Vũng Tàu	104.113.797	107.136.224
138	Trung Tả, Đống Đa	210.201.416	1.058.344.244
139	Phan Văn Trị, Phường 10, Quận Gò Vấp	108.327.364	1.066.724.769
140	Phan Văn Trị, Phường 11, Quận Bình Thạnh	108.159.197	1.066.952.001
141	đường Giáng Hương, dãy nhà phố Dah2, phân khu Dahlia, khu đô thị Ecogarden		
142	Phường Văn Quán, Quận Hà Đông, Hà Nội	209.796.446	1.057.923.394
143	Đường bình chiểu.phường bình chiểu.TP thủ đức	108.745.911	1.067.340.561
144	Tân Hòa 2, Hiệp Phú , Tp. Thủ Đức	10.851.896	106.784.689
145	Nguyễn Văn Cừ		
146	quận 3	107.843.695	1.066.844.089
147	Ngõ vào Định Công Thượng	209.826.822	1.058.209.967
148	Bưng Ông Thoàn , tăng nhơn phú , tp. thủ đức	108.124.272	1.067.974.687
149	Bùi Hữu Nghĩa, Bình Thạnh, Tp Hồ Chí Minh	107.975.726	1.066.988.153
150	Tam Trinh	20.980.702	1.058.644.411
151	Ngân - thổ cư Đống Đa hà nội	210.180.725	1.058.299.495
152	đàm quang trung long biên	210.239.608	1.058.947.852
153	Đàm Quang, Trung Long Biên	210.239.608	1.058.947.852
154	đội Cấn, quận Ba Đình	210.353.362	1.058.238.927
155	trung tâm Hà Nội	210.277.644	1.058.341.598
156	ECOGARDEN		
157	Khuôn Việt, Phú Trung, Tân Phú	107.760.186	1.066.393.366
158	98/18		
159	Phùng Chí Kiên		
160	Biên Hòa	109.574.128	1.068.426.871
161	Ngân - thổ cư Đống Đa hà nội	210.180.725	1.058.299.495
162	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
163	đường Phan Chu Trinh, Phường Quang Vinh	10.949.032	1.068.157.544
164	đường P. Tân Phong, Quận ??	107.221.275	1.067.145.038
165	Phạm Văn Đồng, Phường 11, Quận Bình Thạnh	108.204.226	1.066.942.397
166	đường Nguyễn Sơn, đường Nguyễn Văn Cừ, phường Gia Thuỵ, quận Long Biên	210.467.846	1.058.782.157
167	Khu vực Nguyễn Sơn-Gia Thuỵ	210.455.138	1.058.808.854
168	Hào Nam, Đống Đa	210.252.222	1.058.272.153
169	Chiến Thắng Văn Quán Hà Đông	209.791.537	1.057.962.032
170	Cầu Am, Vạn Phúc, Hà Đông	209.773.501	1.057.774.475
171	khu dân cư Hai Thành, Tên Lửa	107.477.814	1.065.830.486
172	đường số 18		
173	Chu Huy Mân, Long Biên	210.444.978	1.059.074.374
174			
175	đường số 12, khu Tên Lửa	107.478.829	1.066.118.492
176	đường An Dương Vương, Phường An Lạc, Quận Bình Tân	107.278.848	1.066.203.589
177	Hương Lộ 2, Bình Trị Đông, Bình Tân, Ho Chi Minh City	107.695.049	10.661.276
178	đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	107.673.378	1.066.230.141
179	hẻm xe hơi, đường Phan Anh, Bình Trị Đông, Bình Tân, TP. HCM	107.673.378	1.066.230.141
180	Đội Cấn, ...		
181	 		
182	Mễ Trì Nam Từ Liêm, Ngõ Thông, Đại Lộ Thăng Long, Mỹ Đình	210.030.134	1.057.780.595
183	Đường Hoàng Quốc Việt, Cầu Giấy, HÀ NỘI	210.460.525	105.793.266
184	TP Tân Uyên	11.049.492	1.067.576.751
185	41/14 Ngõ 219 Phố Định Công Thượng, Hoàng Mai, Hà Nội	209.859.171	105.822.933
186	Lã Xuân Oai, Tăng Nhơn Phú A	108.398.715	1.067.953.202
187	Ngọc Thụy	210.588.582	1.058.583.873
188	Đội Cấn, Quận Ba Đình	210.353.362	1.058.238.927
189	Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú	108.011.535	1.066.183.755
190	Lã Xuân Oai, Tăng Nhơn Phú A, Tp. Thủ Đức	108.398.715	1.067.953.202
191	bửu long	109.586.438	1.068.053.993
192	Ngõ 151 Láng Hạ	210.111.973	1.058.118.243
193	Âu Cơ Phú Trung Tân Phú	107.796.721	1.066.445.135
194	Lạc Long Quân, Xuân La, Tây Hồ, Hà Nội	210.603.981	1.058.090.381
195	đường(percent, Quận Nam Từ Liêm, Tổng công ty Mỹ Đình, Hà Nội	210.256.221	1.057.677.817
196	Ngô Quyền, khu đô thị Văn Khê	209.708.916	1.057.643.286
197	Nguyễn Văn Khối	108.429.616	1.066.529.357
198	đường Bùi Hữu Nghĩa, Phước Hòa, Quận Hóa An	109.335.954	10.679.719
199	23 Nơ Trang Long	108.068.249	1.066.950.418
200	mặt phố lớn, khu vực dân trí, gần trường học, chợ, siêu thị...		
201	Cống Lỡ P15 Tân Bình	108.265.968	1.066.358.376
202	Cống Lỡ P15 Tân Bình	108.265.968	1.066.358.376
203	Cống Lỡ P.15 Tân Bình	108.265.968	1.066.358.376
204	Nguyễn Trung Trực, Phường 5, Bình Thạnh	108.122.478	1.066.863.715
205	Trần Phú Hà Đông	209.799.246	1.057.873.752
206	Ấp Láng - Tân Thành - Gò Công Đông - Tiền Giang	102.972.649	1.067.588.494
207	đường Lê Quang Đạo, Nam Từ Liêm, Hà Nội	210.124.718	105.770.698
208	Thụy Khuê, Thụy Khuê, Tây Hồ, Hà Nội	21.046.133	1.058.246.266
209	Thành phố Đà Nẵng	160.544.068	1.082.021.667
210	Hẻm 87 đường Lê Thị Hoa.Phường Bình Chiểu - TP.Thủ Đức	108.743.126	1.067.366.019
211	ngoại bộ khu Tân Tạo, đối diện Bonchen	243.317.733	1.206.533.224
212	mặt phố Cổ Linh	210.260.537	1.058.985.417
213	ngõ Matiz, Trung tâm Đa sỹ, cạnh khu Kiến Hưng	209.592.584	1.057.857.359
214	Biên Hòa	109.574.128	1.068.426.871
215	Biên Hòa	109.574.128	1.068.426.871
216	Thụy Khuê - Tây Hồ	21.046.133	1.058.246.266
217	Đường Thanh Xuân 43, Quận 12	108.900.839	1.066.820.517
218	đông Đa, phườngninger	210.180.725	1.058.299.495
219	Tân Bình, TP.HCM	108.014.659	1.066.525.974
220	HƯƠNG LỘ 2	107.670.756	1.066.075.906
221	mặt tiền mân quang 4	161.026.602	1.082.462.637
222	Nguyễn Trãi, Quận Thanh Xuân	209.935.474	1.058.062.968
223	Xuân Phương	210.314.868	1.057.497.878
224	đường Bạch Mai, Phường Hai Bà Trưng	209.964.802	1.058.622.838
225	đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận	107.974.655	1.066.819.707
226	Vương Thừa Vũ, quận Thanh Xuân	209.989.203	105.821.837
227	Trần Kế Xương, Phường 7, Quận Phú Nhuận	108.023.412	1.066.903.706
228	Quang Trung		
229	Thạch Lam Phú trung Tân Phú	107.780.407	1.066.274.906
230	Thạch Lam Phú Thạnh Tân Phú	107.780.407	1.066.274.906
231	Trần Phú Hà Đông	209.799.246	1.057.873.752
232	Mậu Lương, Kiên Hưng, Hà Đông	209.567.104	1.057.936.155
233	Mậu Lương, Kiến Hưng, Hà Đông	209.567.104	1.057.936.155
234	Lũy Bán Bích, Hòa Thạnh Tân Phú	107.785.858	1.066.351.344
235	Lũy Bán Bích Hòa Thạnh Tân Phú	107.785.858	1.066.351.344
236	Phố Thuận An, Trâu Quỳ, Gia Lâm, Hà Nội	210.118.801	1.059.414.119
237	La Khê, Hà Đông	209.724.114	1.057.615.252
238	Phố Thanh Nhàn, Quận Hai Bà Trưng	210.027.414	1.058.563.274
239	Ngõ Ba Gác Đua, Đống Đa	21.016.646	1.058.395.069
240	Phan Đăng Lưu, Nguyễn Văn Đậu, Quận Bình Thạnh	108.038.834	1.066.869.521
241	Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, TP HCM	108.505.432	1.067.193.752
242	Vạn Phúc, Hà Đông	209.786.876	105.771.796
243	đường ô tô, Phường Hiệp Hoà	10.932.876	1.068.379.803
244	đường ô tô, Phường Bửu Long	109.586.438	1.068.053.993
245	đường ô tô, Phường Bửu Long	109.586.438	1.068.053.993
246	na		
247	phố Nhân Hòa, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội	21.002.125	1.058.089.493
248	Hòa Hưng, Phường 12, Quận 10	107.789.834	1.066.738.954
249	Nguyễn Chí Thanh, Dương Đông, Phú Quốc, Kiên Giang	10.220.027	1.039.794.999
250	Thái Thịnh - Đống Đa	210.104.261	1.058.184.682
251	Thái Thịnh - Đống Đa	210.104.261	1.058.184.682
252	Tân Quý, Tân Phú	10.794.826	1.066.217.623
253	đường Bùi Minh Trực, Phường 5, Quận 8	107.383.744	1.066.586.009
254	Đường số 5, Phường 5, Quận 8	107.362.168	1.066.744.709
255	Phố Vọng, Hai Bà Trưng, Hà Nội	210.090.571	1.058.607.507
256	đường Khương Hạ, phố Bùi Xương Trạch, phường Thanh Xuân	108.834.303	1.066.703.963
257	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
258	Ngõ oto thông sang, gần bệnh viện Thanh Nhàn	210.035.559	105.859.375
259	Trương Đinh, ngõ nông		
260	Nguyễn Văn Khối	108.429.616	1.066.529.357
261	Trần Kế Xương, Phường 7, Quận Phú Nhuận	108.023.412	1.066.903.706
262	Vạn Kiếp, Phường 3, Quận Bình Thạnh	107.994.304	1.066.935.618
263	Thành phố Đà Nẵng	160.544.068	1.082.021.667
264	phố Vương Thừa Vũ, quận Thanh Xuân	209.989.203	105.821.837
265	DƯƠNG QUẢNG HÀM, PHƯỜNG 5, GÒ VẤP , HCM	108.236.032	1.066.957.585
266	DƯƠNG QUẢNG HÀM, PHƯỜNG 5, GÒ VẤP , HCM	108.236.032	1.066.957.585
267	Tô Vĩnh Diện, Quận Thanh Xuân	209.996.942	1.058.209.239
268	đường Phạm Văn Trị, Phường 11, Quận Bình Thạnh	108.159.197	1.066.952.001
269	Ngõ 381 Nguyễn Khang, Yên Hoà, Cầu Giấy, Hà Nội	210.273.954	1.057.967.919
270	Trần Phú, Ngô Quyền, Hải Phòng	208.589.455	1.066.871.535
271	Phú Thượng, Quận Tây Hồ	210.838.905	1.058.084.823
272	Kiến Hưng, Hà Đông	209.528.073	1.057.850.022
273	đường Nguyễn Bặc, Phường 3, Quận Tân Bình	107.944.664	106.662.427
274	Hồng Mai, Hai Bà Trưng	209.989.094	1.058.532.637
275	đường tỉnh 266, xã Điềm Thuỵ, huyện Phú Bình, tỉnh Thái Nguyên	214.588.593	1.059.171.161
276	TP.HCM	108.230.989	1.066.296.638
277	đường Thiên Phước, Phường 9, Quận Tân Bình	1.077.704	1.066.545.298
278	Hẻm 3, Quận Tân Phú	107.826.958	1.066.203.951
279	đường Nguyễn Trãi, Quận Thanh Xuân	209.935.474	1.058.062.968
280	phố Nguyễn Trãi, quận Thanh Xuân	209.935.474	1.058.062.968
281	Lê Văn Thọ	108.455.819	1.066.570.168
282	Thành phố Đà Nẵng	160.544.068	1.082.021.667
283	Lý Thường Kiệt, Phường 8, Quận Tân Bình	107.844.579	1.066.541.494
284	Lý Thường Kiệt, Phường 8, Quận Tân Bình	107.844.579	1.066.541.494
285	Nguyễn Ái Quốc, Phường Trung Dũng, Thành phố Biên Hòa, Đồng Nai	109.562.652	1.068.224.965
286	Tây Thạnh, P.Tây Thạnh, Tân Phú	108.122.907	1.066.261.831
287	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
288	đường Trần Quốc Hoàn, Cầu Giấy, Hà Nội	210.416.528	1.057.859.318
289	Trần Quốc Hoàn, Cầu Giấy	210.416.528	1.057.859.318
290	đường Điện Biên Phủ, phưởng Phan Si Păng, thị xã Sa Pa	222.497.168	1.039.608.091
291	Nguyễn Văn Cừ, Long Biên	210.464.835	1.058.773.208
292	Quận Gò Vấp HCM	108.386.779	1.066.652.904
293	Ngã Tư Lũy Bán Bích, Hiệp Tân, Quận Tân Phú	107.714.135	1.066.319.887
294	Cam Lộ, Hùng Vương, Hồng Bàng, Hải Phòng	208.717.109	1.066.364.987
295	đường Nguyễn Ái Quốc, P. Hố Nai	109.239.845	1.068.049.789
296	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
297	Đường số 4 Phường Bình Chiểu TP.Thủ Đức	1.087.579	1.067.229.308
298	đường Nguyễn Văn Cục, Long Biên, Hà Nội	210.186.765	105.884.813
299	Lê Đức Thọ, Phường 16, Quận Gò Vấp	108.489.499	1.066.663.471
300	đường Thịnh Quang, phường Thịnh Quang, Quận Đống Đa, Hà Nội	210.101.897	1.058.186.922
301	Đường lê thị hoa Phường Bình Chiểu TP.Thủ đức	108.773.296	10.674.114
302	Phường Hiệp Bình Chánh, Quận Thủ Đức, TP.Thủ Đức	108.339.953	1.067.264.125
303	Hẻm 42 Đường Bình Chiểu	108.821.019	106.762.894
304	Hẻm 42 Đường Bình Chiểu	108.821.019	106.762.894
305	Ngân - thổ cư Đống Đa hà nội	210.180.725	1.058.299.495
306	Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội	209.704.818	1.057.624.811
307	đường Lê Văn Khương, Quận 12	108.631.838	1.066.497.393
308	Đội Cấn		
309	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
310	Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh	107.933.763	1.067.182.627
311	Lê Văn Thọ, Phường 9, Quận Gò Vấp	108.472.879	1.066.569.162
312	Gò Vấp	108.386.779	1.066.652.904
313	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
314	Chợ Long Cang	105.855.704	106.517.829
315	Sở Dầu, Hồng Bàng, Hải Phòng	208.683.599	1.066.556.575
316	 Near the street		
317	Hồ Sen, Lê Chân, Hải Phòng	208.432.426	1.066.821.165
318	Phố Đội Cấn, Quận Ba Đình	210.353.698	1.058.192.143
319	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
320	đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh	10.807.912	1.066.888.124
321	đường Trần Kế Xương, Phường 3, Quận Bình Thạnh	108.022.952	1.066.917.901
322	phố cổ Hòa Kiếm, sổ Via Hè, quận	210.352.664	1.058.500.124
323	Đóng đa-lô Góc 36m, Quận Thổ Quan	210.169.746	105.834.167
324	Mặt đường VIP, Quận Long Biên	210.548.635	1.058.884.966
325	Xã Tân Xuân, Huyện Hóc Môn, TP. HCM	108.684.249	1.065.967.126
326	Nguyễn Văn Khối	108.429.616	1.066.529.357
327	Lã Xuân Oai, Tăng Nhơn Phú A, Tp. Thủ Đức	108.398.715	1.067.953.202
328	TÂN THỚI NHẤT - q12	108.292.885	1.066.143.944
329	TÂN THỚI NHẤT - q12	108.292.885	1.066.143.944
330	TÂN THỚI NHẤT - q12	108.292.885	1.066.143.944
331	TÂN THỚI NHẤT - q12	108.292.885	1.066.143.944
332	Long Biên hà nôi	210.186.765	105.884.813
333	khu tái định cư Ngọc Thuỵ, đường 17.5m, huyện Long Biên	210.570.172	1.058.733.547
334	Dương Quảng Hàm, Phường 5, Gò Vấp	108.236.032	1.066.957.585
335	Đường Số 10, Phường Trường Thọ, Quận Thủ Đức, TP HCM	108.480.496	106.756.555
336	Sở Dầu, Hồng Bàng, Hải Phòng	208.683.599	1.066.556.575
337	Nguyễn Văn Khối	108.429.616	1.066.529.357
338	Đội Cấn		
339	được Đội Cấn	210.353.698	1.058.192.143
340	Xuân La, Tây Hồ	210.596.756	1.058.040.796
341	Đường ấp 1A xã vĩnh lộc A huyện bình chánh tp. Hồ Chí Minh	108.057.094	1.065.564.609
342	đường Lê Văn Sỹ, Phường 10	107.933.988	1.066.695.074
343	Đường bình chiểu. Phường Bình Chiểu. TP.Thủ Đức	108.745.911	1.067.340.561
344	Nguyễn Viết Xuân, -Dự án-	19.776.472	1.055.650.239
345	Nguyễn Viết Xuân, -Dự án-	19.776.472	1.055.650.239
346	Giáp Bát	209.836.114	1.058.422.401
347	Giáp Bát	209.836.114	1.058.422.401
348	Hồ Đền Lừ	209.849.274	1.058.550.843
349	Hà Nội	210.277.644	1.058.341.598
350	hẻm Thảo Điền, Quận 2	107.935.216	1.067.308.195
351	Nguyễn Súy, Tân Quý, Tân Phú	107.922.004	1.066.224.456
352	Thành phố Hồ Chí Minh	108.230.989	1.066.296.638
353	Hương Lộ 3, Bình Hưng Hòa, Bình Tân	107.987.166	1.066.125.495
354	Ngân - thổ cư Đống Đa hà nội	210.180.725	1.058.299.495
355	Đường Ngô Quyền, Sơn Trà, Đà Nẵng	160.812.594	1.082.355.606
356	đường Trần Quốc Toản, Phường Bình Đa	109.382.321	1.068.591.645
357	đường Phạm văn thuận, Biên Hoà	109.526.723	1.068.534.873
358	Ung Văn Khiêm, Phường 25, Quận Bình Thạnh	108.067.689	1.067.193.518
359	Đường Thống Nhất, Phường 11, Quận Gò Vấp	108.394.408	1.066.653.068
360	Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	107.762.062	1.066.108.004
361	Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	107.762.062	1.066.108.004
362	đường Bùi Văn Thêm, Phường 9, Quận Phú Nhuận	108.089.312	1.066.768.713
363	Lê Văn Duyệt phườn 3, Bình Thanh	107.985.239	1.066.952.555
364	Đường Bình Chiểu - Phường Bình Chiểu - TP.Thủ Đức	108.745.911	1.067.340.561
365	ngõ 72 đường Nguyễn Trãi, phường Thượng Đình, Quận Thanh Xuân, Hà Nội	210.036.899	1.058.165.503
366	ngõ 72 đường Nguyễn Trãi, phường Thượng Đình, Quận Thanh Xuân, Hà Nội	210.036.899	1.058.165.503
367	Đê La Thành, Xã Đàn	210.129.017	1.058.355.017
368	phố Ngọc Khánh, Ba Đình	210.271.538	1.058.177.791
369	HIỆP THÀNH - q12	108.825.023	1.066.379.724
370	Phùng Khoang Trung Văn Hà Nội	20.988.178	1.057.931.515
